country;<500m;500-999m;1000-1499m;1500-1999m;2000-2499m;2500-2999m;3000-3499m;3500-3999m;4000-4499m;4500-4999m;?5000m;total_population;%<500m;%500-999m;%1000-1499m;%1500-1999m;%2000-2499m;%2500-2999m;%3000-3499m;%3500-3999m;%4000-4499m;%4500-4999m;%?5000m;total_population?1500m;total_population?2000m;total_population?2500m;total_population?3000m;total_population?3500m;%?1500m;%?2000m;%?2500m;%?3000m;%?3500m
Afghanistan;3689025;7603564;6089384;7514169;4094061;1263148;193822;1334;446;3;6;30448962;12.12;24.97;20;24.68;13.45;4.15;0.64;0;0;0;0;13066989;5552820;1458759;195611;1789;42.91;18.24;4.79;0.64;0.01
Akrotiri_and_Dhekelia;24269;0;0;0;0;0;0;0;0;0;0;24269;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aland;29609;0;0;0;0;0;0;0;0;0;0;29609;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albania;2550634;417596;78217;17845;1271;1;0;0;0;0;0;3065564;83.2;13.62;2.55;0.58;0.04;0;0;0;0;0;0;19117;1272;1;0;0;0.62;0.04;0;0;0
Algeria;23557381;13837942;4865137;65031;498;136;0;0;0;0;0;42326125;55.66;32.69;11.49;0.15;0;0;0;0;0;0;0;65665;634;136;0;0;0.16;0;0;0;0
American_Samoa;50133;0;0;0;0;0;0;0;0;0;0;50133;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Andorra;0;2768;68484;10325;4026;47;0;0;0;0;0;85650;0;3.23;79.96;12.05;4.7;0.05;0;0;0;0;0;14398;4073;47;0;0;16.81;4.76;0.05;0;0
Angola;12963479;3914846;9298329;5176858;17505;2;0;0;0;0;0;31371019;41.32;12.48;29.64;16.5;0.06;0;0;0;0;0;0;5194365;17507;2;0;0;16.56;0.06;0;0;0
Anguilla;17750;0;0;0;0;0;0;0;0;0;0;17750;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Antigua_and_Barbuda;97021;0;0;0;0;0;0;0;0;0;0;97021;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;38083149;5184719;1494527;156552;92946;55672;68564;44512;15612;4714;358;45201325;84.25;11.47;3.31;0.35;0.21;0.12;0.15;0.1;0.03;0.01;0;438930;282378;189432;133760;65196;0.97;0.62;0.42;0.3;0.14
Armenia;4899;1079214;1116362;712973;111247;12846;1418;1;0;0;0;3038960;0.16;35.51;36.74;23.46;3.66;0.42;0.05;0;0;0;0;838485;125512;14265;1419;1;27.59;4.13;0.47;0.05;0
Aruba;118013;0;0;0;0;0;0;0;0;0;0;118013;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Australia;23887975;1164650;58907;1628;8;0;0;0;0;0;0;25113168;95.12;4.64;0.23;0.01;0;0;0;0;0;0;0;1636;8;0;0;0;0.01;0;0;0;0
Austria;6265476;2198274;297928;55019;6124;490;52;0;0;0;0;8823363;71.01;24.91;3.38;0.62;0.07;0.01;0;0;0;0;0;61685;6666;542;52;0;0.7;0.08;0.01;0;0
Azerbaijan;8169379;1379008;364318;212272;32050;2523;221;3;0;0;0;10159774;80.41;13.57;3.59;2.09;0.32;0.02;0;0;0;0;0;247069;34797;2747;224;3;2.43;0.34;0.03;0;0
Bahamas;335180;0;0;0;0;0;0;0;0;0;0;335180;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bahrain;1473926;0;0;0;0;0;0;0;0;0;0;1473926;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bangladesh;162003537;6557;0;0;0;0;0;0;0;0;0;162010094;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Barbados;293874;0;0;0;0;0;0;0;0;0;0;293874;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belarus;9501444;0;0;0;0;0;0;0;0;0;0;9501444;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;11595128;54137;0;0;0;0;0;0;0;0;0;11649265;99.54;0.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belize;389044;2094;1;0;0;0;0;0;0;0;0;391139;99.46;0.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Benin;12367386;81229;0;0;0;0;0;0;0;0;0;12448615;99.35;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bermuda;71472;0;0;0;0;0;0;0;0;0;0;71472;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bhutan;117691;68704;143503;131996;197261;84820;18095;9516;6980;2036;23;780625;15.08;8.8;18.38;16.91;25.27;10.87;2.32;1.22;0.89;0.26;0;450727;318731;121470;36650;18555;57.74;40.83;15.56;4.69;2.38
Bolivia;3991097;299990;174193;434641;284833;1965752;543224;2410146;1239987;57850;6852;11408565;34.98;2.63;1.53;3.81;2.5;17.23;4.76;21.13;10.87;0.51;0.06;6943285;6508644;6223811;4258059;3714835;60.86;57.05;54.55;37.32;32.56
Bonaire;_Sint_Eustatius_and_Saba;24918;29;0;0;0;0;0;0;0;0;0;24947;99.88;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bosnia_and_Herzegovina;2707930;1031770;87786;6179;0;0;0;0;0;0;0;3833665;70.64;26.91;2.29;0.16;0;0;0;0;0;0;0;6179;0;0;0;0;0.16;0;0;0;0
Botswana;0;949284;1325531;0;0;0;0;0;0;0;0;2274815;0;41.73;58.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brazil;119129806;84484656;6576881;69430;426;42;0;0;0;0;0;210261241;56.66;40.18;3.13;0.03;0;0;0;0;0;0;0;69898;468;42;0;0;0.03;0;0;0;0
British_Virgin_Islands;36576;0;0;0;0;0;0;0;0;0;0;36576;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brunei;455246;12;1;0;0;0;0;0;0;0;0;455259;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bulgaria;4831575;2078455;101228;7146;937;33;0;0;0;0;0;7019374;68.83;29.61;1.44;0.1;0.01;0;0;0;0;0;0;8116;970;33;0;0;0.12;0.01;0;0;0
Burkina_Faso;20197912;139021;0;0;0;0;0;0;0;0;0;20336933;99.32;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Burundi;0;1541673;2997419;6510500;481078;1417;0;0;0;0;0;11532087;0;13.37;25.99;56.46;4.17;0.01;0;0;0;0;0;6992995;482495;1417;0;0;60.64;4.18;0.01;0;0
Cambodia;16636917;27824;644;11;0;0;0;0;0;0;0;16665396;99.83;0.17;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0
Cameroon;12560958;9386386;4087417;936947;135070;1914;47;36;0;0;0;27108775;46.34;34.62;15.08;3.46;0.5;0.01;0;0;0;0;0;1074014;137067;1997;83;36;3.96;0.51;0.01;0;0
Canada;31584105;4048167;1732406;2905;197;0;0;0;0;0;0;37367780;84.52;10.83;4.64;0.01;0;0;0;0;0;0;0;3102;197;0;0;0;0.01;0;0;0;0
Cape_Verde;528801;39930;5694;1388;26;0;0;0;0;0;0;575839;91.83;6.93;0.99;0.24;0;0;0;0;0;0;0;1414;26;0;0;0;0.25;0;0;0;0
Cayman_Islands;60781;0;0;0;0;0;0;0;0;0;0;60781;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Central_African_Republic;2951764;2679517;276623;0;0;0;0;0;0;0;0;5907904;49.96;45.35;4.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chad;13665384;2620669;96317;2639;662;85;5;0;0;0;0;16385761;83.4;15.99;0.59;0.02;0;0;0;0;0;0;0;3391;752;90;5;0;0.02;0;0;0;0
Chile;11284221;6314384;142835;48374;182325;33003;16670;15966;10496;1578;463;18050315;62.52;34.98;0.79;0.27;1.01;0.18;0.09;0.09;0.06;0.01;0;308875;260501;78176;45173;28503;1.71;1.44;0.43;0.25;0.16
