"T","H","year","date","R"
23.29,84.37,2000,2000-01-01,3605.54
23.49,84.3,2001,2001-01-01,3291.8
23.74,83.98,2002,2002-01-01,3285.87
23.75,84.22,2003,2003-01-01,3422.75
23.79,83.78,2004,2004-01-01,3252
24.01,84.49,2005,2005-01-01,3248.27
23.82,84.97,2006,2006-01-01,3354.19
23.93,83.68,2007,2007-01-01,3423.41
23.75,84.41,2008,2008-01-01,3417.37
24.03,84.52,2009,2009-01-01,3313.19
24.28,84.51,2010,2010-01-01,3631.92
23.88,84.69,2011,2011-01-01,3576.78
23.88,83.86,2012,2012-01-01,3327.16
24.04,83.9,2013,2013-01-01,3352.22
24.19,83.36,2014,2014-01-01,3341.1
24.42,83.22,2015,2015-01-01,3218.26
24.55,83.46,2016,2016-01-01,3378.85
24.3,83.52,2017,2017-01-01,3106.56
24.11,83.26,2018,2018-01-01,3170.26
24.39,83.26,2019,2019-01-01,3103.01
24.52,81.95,2020,2020-01-01,3043.14
24.52,81.95,2021,2021-01-01,3043.14
24.52,81.95,2022,2022-01-01,3043.14
