"T","H","year","date","R"
13.87,62.98,2000,2000-01-01,956.83
14.55,63.71,2001,2001-01-01,938.84
14.36,62.46,2002,2002-01-01,947.91
14.87,58.36,2003,2003-01-01,751.45
14.84,59.81,2004,2004-01-01,736.51
14.48,59.05,2005,2005-01-01,742.36
15.06,58.53,2006,2006-01-01,757.1
14.09,58.56,2007,2007-01-01,780.87
15.02,57.34,2008,2008-01-01,685.79
15.09,54.56,2009,2009-01-01,677.15
14.5,57.92,2010,2010-01-01,703.66
14.77,57.78,2011,2011-01-01,680.35
15.21,57.93,2012,2012-01-01,769.88
15.07,56.07,2013,2013-01-01,622.72
15,60.26,2014,2014-01-01,862.03
15.14,60.51,2015,2015-01-01,819.09
14.65,62.2,2016,2016-01-01,806.03
15.14,60.72,2017,2017-01-01,826.18
14.94,59.12,2018,2018-01-01,735.88
15.01,58.27,2019,2019-01-01,695.88
15.28,55.38,2020,2020-01-01,579.64
15.25,57.08,2021,2021-01-01,608.34
14.78,54.81,2022,2022-01-01,540.57
15.67,57.01,2023,2023-01-01,619.38
