"T.2000","T.2001","T.2002","T.2003","T.2004","T.2005","T.2006","T.2007","T.2008","T.2009","T.2010","T.2011","T.2012","T.2013","T.2014","T.2015","T.2016","T.2017","T.2018","T.2019","T.2020","T.2021","T.2022","T.2023","H.2000","H.2001","H.2002","H.2003","H.2004","H.2005","H.2006","H.2007","H.2008","H.2009","H.2010","H.2011","H.2012","H.2013","H.2014","H.2015","H.2016","H.2017","H.2018","H.2019","H.2020","H.2021","H.2022","H.2023","year","date","R.2000","R.2001","R.2002","R.2003","R.2004","R.2005","R.2006","R.2007","R.2008","R.2009","R.2010","R.2011","R.2012","R.2013","R.2014","R.2015","R.2016","R.2017","R.2018","R.2019","R.2020","R.2021","R.2022","R.2023"
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2000,2000-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2001,2001-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2002,2002-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2003,2003-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2004,2004-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2005,2005-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2006,2006-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2007,2007-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2008,2008-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2009,2009-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2010,2010-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2011,2011-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2012,2012-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
13.87,14.55,14.36,14.87,14.84,14.48,15.06,14.09,15.02,15.09,14.5,14.77,15.21,15.07,15,15.14,14.65,15.14,14.94,15.01,15.28,15.25,14.78,15.67,62.98,63.71,62.46,58.36,59.81,59.05,58.53,58.56,57.34,54.56,57.92,57.78,57.93,56.07,60.26,60.51,62.2,60.72,59.12,58.27,55.38,57.08,54.81,57.01,2013,2013-01-01,956.83,938.84,947.91,751.45,736.51,742.36,757.1,780.87,685.79,677.15,703.66,680.35,769.88,622.72,862.03,819.09,806.03,826.18,735.88,695.88,579.64,608.34,540.57,619.38
