"T","H","year","date","R"
19.74,69.99,2000,2000-01-01,1411.52
20.02,71.33,2001,2001-01-01,1475.85
20.55,70.25,2002,2002-01-01,1310.43
20.22,68.81,2003,2003-01-01,1361.35
20.14,70.27,2004,2004-01-01,1455.33
20.22,69.22,2005,2005-01-01,1459.73
20.42,69.85,2006,2006-01-01,1538.97
20.28,69.03,2007,2007-01-01,1527.53
20.11,68.73,2008,2008-01-01,1539.37
20.44,69.77,2009,2009-01-01,1550.6
20.74,65.07,2010,2010-01-01,1280.32
20.54,68.81,2011,2011-01-01,1492.23
20.52,70.18,2012,2012-01-01,1599.76
20.26,69.36,2013,2013-01-01,1508.41
20.53,70.32,2014,2014-01-01,1639.56
20.95,70.2,2015,2015-01-01,1524.27
20.67,66.86,2016,2016-01-01,1414.95
20.71,69.17,2017,2017-01-01,1552.45
20.27,69.98,2018,2018-01-01,1628.23
20.85,67.89,2019,2019-01-01,1463.43
21.1,64.77,2020,2020-01-01,1239.3
20.49,67.16,2021,2021-01-01,1474.04
20.43,63.81,2022,2022-01-01,1184.58
21.51,65.03,2023,2023-01-01,1226.97
