"T","H","year","date","R"
24.47,78.31,2000,2000-01-01,1919.08
24.79,77.15,2001,2001-01-01,1764.28
25.2,75.9,2002,2002-01-01,1714.24
24.98,75.84,2003,2003-01-01,1709.92
24.85,76.54,2004,2004-01-01,1805.91
25.17,75.64,2005,2005-01-01,1776.01
24.94,76.21,2006,2006-01-01,1811.34
25.14,74.32,2007,2007-01-01,1675.52
24.79,75.71,2008,2008-01-01,1897.32
25.01,77.5,2009,2009-01-01,1967.4
25.33,74.16,2010,2010-01-01,1685.3
24.9,75.84,2011,2011-01-01,1906.61
25.17,73.93,2012,2012-01-01,1638.81
25.06,76,2013,2013-01-01,1873.1
25.17,75.39,2014,2014-01-01,1758.39
25.69,74.15,2015,2015-01-01,1609.85
25.57,74.31,2016,2016-01-01,1741.58
25.39,74.27,2017,2017-01-01,1748.23
25.1,76,2018,2018-01-01,1800.4
25.53,74.53,2019,2019-01-01,1671.08
25.2,73.44,2020,2020-01-01,1666.41
24.98,74.23,2021,2021-01-01,1771.78
24.8,74.07,2022,2022-01-01,1699.81
25.55,72.87,2023,2023-01-01,1428.39
