"T","H","year","date","R"
19.78,69.94,2000,2000-01-01,1414.36
20.06,71.31,2001,2001-01-01,1476.41
20.58,70.25,2002,2002-01-01,1312.02
20.26,68.76,2003,2003-01-01,1360.48
20.18,70.21,2004,2004-01-01,1459.09
20.26,69.22,2005,2005-01-01,1459.08
20.45,69.84,2006,2006-01-01,1543.35
20.32,69,2007,2007-01-01,1528.28
20.15,68.66,2008,2008-01-01,1541.4
20.47,69.76,2009,2009-01-01,1552.76
20.79,65.02,2010,2010-01-01,1281
20.58,68.81,2011,2011-01-01,1493.01
20.56,70.15,2012,2012-01-01,1604.14
20.3,69.33,2013,2013-01-01,1507.61
20.57,70.3,2014,2014-01-01,1643.99
20.99,70.19,2015,2015-01-01,1526.1
20.7,66.82,2016,2016-01-01,1416.27
20.75,69.12,2017,2017-01-01,1554.35
20.31,69.97,2018,2018-01-01,1629.75
20.9,67.87,2019,2019-01-01,1463.33
21.14,64.68,2020,2020-01-01,1241.06
21.14,64.68,2021,2021-01-01,1241.06
21.14,64.68,2022,2022-01-01,1241.06
