"T","H","year","date","R"
24.48,78.25,2000,2000-01-01,1919.62
24.8,77.08,2001,2001-01-01,1764.12
25.2,75.83,2002,2002-01-01,1714.84
24.98,75.77,2003,2003-01-01,1709.6
24.86,76.46,2004,2004-01-01,1807.14
25.18,75.57,2005,2005-01-01,1775.51
24.95,76.15,2006,2006-01-01,1811.28
25.14,74.25,2007,2007-01-01,1675.53
24.8,75.63,2008,2008-01-01,1897.84
25.02,77.44,2009,2009-01-01,1965.52
25.34,74.07,2010,2010-01-01,1685.64
24.9,75.77,2011,2011-01-01,1907.01
25.18,73.84,2012,2012-01-01,1640.1
25.07,75.93,2013,2013-01-01,1873.91
25.18,75.33,2014,2014-01-01,1758.45
25.69,74.08,2015,2015-01-01,1609.16
25.57,74.22,2016,2016-01-01,1741.3
25.39,74.2,2017,2017-01-01,1748.63
25.1,75.95,2018,2018-01-01,1799.52
25.54,74.46,2019,2019-01-01,1670.12
25.2,73.35,2020,2020-01-01,1667.65
25.2,73.35,2021,2021-01-01,1667.65
25.2,73.35,2022,2022-01-01,1667.65
