"T","H","year","date","R"
8.42,64.83,2000,2000-01-01,1480.91
8.73,65.39,2001,2001-01-01,1584.86
8.53,65.45,2002,2002-01-01,1625.55
9.19,63.46,2003,2003-01-01,1563.38
9.26,64.28,2004,2004-01-01,1508.04
8.79,63.78,2005,2005-01-01,1510.86
9.21,64.09,2006,2006-01-01,1681.63
8.46,63.47,2007,2007-01-01,1386.75
9.03,63.02,2008,2008-01-01,1480.04
8.89,63.11,2009,2009-01-01,1655.72
8.62,62.83,2010,2010-01-01,1516.26
8.83,63.95,2011,2011-01-01,1494.45
9.09,64.01,2012,2012-01-01,1598.44
9.15,62.63,2013,2013-01-01,1476.68
8.97,62.21,2014,2014-01-01,1578.87
9.35,61.94,2015,2015-01-01,1554.18
9.66,62.04,2016,2016-01-01,1183.06
9.16,63.99,2017,2017-01-01,1729.22
9.08,62.61,2018,2018-01-01,1557.24
9.43,61.5,2019,2019-01-01,1451.85
9.43,62.29,2020,2020-01-01,1486.43
9.37,61.71,2021,2021-01-01,1297.33
8.72,61.69,2022,2022-01-01,1414.47
9.49,61.56,2023,2023-01-01,1555.91
