"T","H","year","date","R"
23.28,84.43,2000,2000-01-01,3600.71
23.48,84.4,2001,2001-01-01,3285.53
23.73,84.05,2002,2002-01-01,3279.42
23.73,84.3,2003,2003-01-01,3413.92
23.79,83.84,2004,2004-01-01,3246.49
24,84.53,2005,2005-01-01,3242.35
23.81,85.04,2006,2006-01-01,3349.71
23.91,83.83,2007,2007-01-01,3419.42
23.74,84.48,2008,2008-01-01,3414.48
24.02,84.57,2009,2009-01-01,3309.34
24.27,84.58,2010,2010-01-01,3628.25
23.87,84.77,2011,2011-01-01,3572.56
23.88,83.92,2012,2012-01-01,3325.1
24.04,83.97,2013,2013-01-01,3349
24.18,83.46,2014,2014-01-01,3335.75
24.41,83.28,2015,2015-01-01,3217.18
24.54,83.51,2016,2016-01-01,3377.92
24.28,83.62,2017,2017-01-01,3101.08
24.1,83.41,2018,2018-01-01,3165.43
24.38,83.36,2019,2019-01-01,3101.09
24.52,82.04,2020,2020-01-01,3039.15
24.09,83.07,2021,2021-01-01,3347.09
23.94,83.23,2022,2022-01-01,3273.71
24.67,82.38,2023,2023-01-01,2918.9
