"T","H","year","date","R"
22.44,85.1,2000,2000-01-01,3359.47
22.71,84.33,2001,2001-01-01,3335.53
23.16,83.84,2002,2002-01-01,3156.35
23.14,85.05,2003,2003-01-01,3479.08
23.12,84.55,2004,2004-01-01,3640.18
23.21,84.97,2005,2005-01-01,3439.94
23.13,84.4,2006,2006-01-01,3085.8
23.1,84.84,2007,2007-01-01,3789.11
22.87,84.64,2008,2008-01-01,4004.52
23.23,84.42,2009,2009-01-01,3339.27
23.31,86.04,2010,2010-01-01,4897.4
22.98,85.72,2011,2011-01-01,3681.93
23.07,83.83,2012,2012-01-01,3060.71
23.22,83.89,2013,2013-01-01,3143.81
23.34,83.08,2014,2014-01-01,3243.88
23.59,83.01,2015,2015-01-01,2908.2
23.58,83.24,2016,2016-01-01,3407.09
23.3,84.73,2017,2017-01-01,3529.94
23.13,83.76,2018,2018-01-01,3068.73
23.5,83.33,2019,2019-01-01,2885.65
23.47,84.6,2020,2020-01-01,3631.12
23.02,84.44,2021,2021-01-01,3231.5
22.93,84.58,2022,2022-01-01,3702.66
23.76,82.98,2023,2023-01-01,2887.63
