"T","H","year","date","R"
8.5,64.09,2000,2000-01-01,1402.12
8.84,64.7,2001,2001-01-01,1495.08
8.64,64.68,2002,2002-01-01,1549.32
9.28,62.64,2003,2003-01-01,1459.84
9.34,63.48,2004,2004-01-01,1415.08
8.89,62.99,2005,2005-01-01,1433.85
9.31,63.33,2006,2006-01-01,1587.64
8.55,62.61,2007,2007-01-01,1289.82
9.12,62.17,2008,2008-01-01,1392.4
9,62.33,2009,2009-01-01,1556.11
8.72,61.96,2010,2010-01-01,1416.3
8.94,63.18,2011,2011-01-01,1397.92
9.19,63.25,2012,2012-01-01,1506.37
9.23,61.85,2013,2013-01-01,1382.24
9.06,61.35,2014,2014-01-01,1486.59
9.46,61.15,2015,2015-01-01,1468.32
9.76,61.19,2016,2016-01-01,1103.33
9.25,63.23,2017,2017-01-01,1623.54
9.18,61.87,2018,2018-01-01,1456.7
9.54,60.67,2019,2019-01-01,1357.56
9.52,61.45,2020,2020-01-01,1385.5
9.52,61.45,2021,2021-01-01,1385.5
9.52,61.45,2022,2022-01-01,1385.5
