"T","H","year","date","R"
22.54,84.95,2000,2000-01-01,3420.46
22.8,84.12,2001,2001-01-01,3383.2
23.25,83.68,2002,2002-01-01,3185.73
23.24,84.85,2003,2003-01-01,3492.53
23.2,84.4,2004,2004-01-01,3688.63
23.29,84.76,2005,2005-01-01,3476.79
23.21,84.22,2006,2006-01-01,3119.63
23.19,84.63,2007,2007-01-01,3827.15
22.97,84.35,2008,2008-01-01,4013.79
23.31,84.27,2009,2009-01-01,3350.08
23.41,85.77,2010,2010-01-01,4925.23
23.07,85.41,2011,2011-01-01,3711.54
23.17,83.68,2012,2012-01-01,3090.18
23.32,83.71,2013,2013-01-01,3188.25
23.43,82.98,2014,2014-01-01,3256.23
23.69,82.94,2015,2015-01-01,2929.64
23.67,83.21,2016,2016-01-01,3443.73
23.4,84.6,2017,2017-01-01,3553.26
23.23,83.66,2018,2018-01-01,3096.96
23.6,83.21,2019,2019-01-01,2918.39
23.57,84.36,2020,2020-01-01,3657.84
23.57,84.36,2021,2021-01-01,3657.84
23.57,84.36,2022,2022-01-01,3657.84
