"T","H","year","date","R"
19.67,87.02,2000,2000-01-01,3176.62
19.83,86.58,2001,2001-01-01,3092.94
20.08,87.08,2002,2002-01-01,3228.42
19.96,87.46,2003,2003-01-01,3007.3
20.44,85.88,2004,2004-01-01,2782.06
20.72,85.37,2005,2005-01-01,2645.85
20.78,85.32,2006,2006-01-01,2983.29
20.61,86.03,2007,2007-01-01,2841.97
20.67,85.77,2008,2008-01-01,3160.85
20.91,85.09,2009,2009-01-01,2987.48
21.04,84.89,2010,2010-01-01,3005.11
20.8,84.34,2011,2011-01-01,2940.16
20.78,84.7,2012,2012-01-01,3358.4
20.77,84.99,2013,2013-01-01,2996.54
20.91,85.44,2014,2014-01-01,3189.84
21.49,84.81,2015,2015-01-01,3387.57
21.5,84.63,2016,2016-01-01,3176.72
21.14,85.65,2017,2017-01-01,3591.37
20.93,85.13,2018,2018-01-01,3273.85
21.16,85.63,2019,2019-01-01,3587.58
21.29,83.86,2020,2020-01-01,2854.41
20.99,84.75,2021,2021-01-01,3295.62
20.87,83.74,2022,2022-01-01,2894.95
21.73,83.72,2023,2023-01-01,3368.44
