"T","H","year","date","R"
19.65,86.97,2000,2000-01-01,3197.49
19.81,86.47,2001,2001-01-01,3111.56
20.06,86.98,2002,2002-01-01,3238.22
19.94,87.39,2003,2003-01-01,3031.52
20.43,85.75,2004,2004-01-01,2805.23
20.72,85.27,2005,2005-01-01,2675.96
20.77,85.22,2006,2006-01-01,3002.99
20.63,85.83,2007,2007-01-01,2868.17
20.64,85.71,2008,2008-01-01,3182.6
20.9,84.95,2009,2009-01-01,3017.17
21.06,84.69,2010,2010-01-01,3026.01
20.79,84.26,2011,2011-01-01,2963.9
20.76,84.6,2012,2012-01-01,3377.94
20.77,84.82,2013,2013-01-01,3024.07
20.89,85.33,2014,2014-01-01,3213.3
21.46,84.64,2015,2015-01-01,3399.43
21.5,84.48,2016,2016-01-01,3203.94
21.13,85.54,2017,2017-01-01,3617.94
20.93,84.98,2018,2018-01-01,3314.5
21.15,85.48,2019,2019-01-01,3619.16
21.29,83.67,2020,2020-01-01,2880.31
21.29,83.67,2021,2021-01-01,2880.31
21.29,83.67,2022,2022-01-01,2880.31
