"T","H","year","date","R"
25.18,69.53,2000,2000-01-01,1369.33
25.42,68.5,2001,2001-01-01,1178.37
25.92,67.96,2002,2002-01-01,1352.75
25.66,71.42,2003,2003-01-01,1506.94
25.73,70.04,2004,2004-01-01,1456.71
25.57,72.56,2005,2005-01-01,2098.99
25.64,70.8,2006,2006-01-01,1591.37
25.49,69.72,2007,2007-01-01,1726
25.11,70.9,2008,2008-01-01,2097.34
25.96,68.21,2009,2009-01-01,1310.25
25.57,71.19,2010,2010-01-01,2330.81
25.55,71.38,2011,2011-01-01,1924.99
25.83,68.26,2012,2012-01-01,1296.35
25.99,71.14,2013,2013-01-01,1416
26.15,69.17,2014,2014-01-01,1403.25
26.78,67.48,2015,2015-01-01,1320.35
26.48,69.79,2016,2016-01-01,1303.74
26.14,70.14,2017,2017-01-01,1694.96
26.26,67.72,2018,2018-01-01,1458.06
26.59,68.29,2019,2019-01-01,1459.64
26.25,72.53,2020,2020-01-01,2009.24
26.25,72.53,2021,2021-01-01,2009.24
26.25,72.53,2022,2022-01-01,2009.24
