"T","H","year","date","R"
22.24,78.36,2000,2000-01-01,1768.06
22.32,78.74,2001,2001-01-01,1687.71
22.8,77.27,2002,2002-01-01,1628.61
22.96,77.28,2003,2003-01-01,1723.85
22.58,79.35,2004,2004-01-01,1682.08
23.04,78.52,2005,2005-01-01,2033.59
22.68,80.23,2006,2006-01-01,2089.47
22.86,78.12,2007,2007-01-01,1812.96
22.54,78.24,2008,2008-01-01,2068.28
23.26,75.74,2009,2009-01-01,1551.7
23.16,77.07,2010,2010-01-01,2179.38
23.24,76.83,2011,2011-01-01,2084.06
23.04,77.65,2012,2012-01-01,1751.09
23.27,79.18,2013,2013-01-01,2125.44
23.09,79.18,2014,2014-01-01,1946.31
23.59,78.35,2015,2015-01-01,1746.95
23.55,78.8,2016,2016-01-01,1674.64
23.31,78.71,2017,2017-01-01,1954.97
23.19,77.56,2018,2018-01-01,1636.4
23.91,75.32,2019,2019-01-01,1548.27
23.8,77.76,2020,2020-01-01,2209.36
23.62,77.63,2021,2021-01-01,1663.35
23.37,78.35,2022,2022-01-01,2089.64
24.1,76.24,2023,2023-01-01,1691.28
