"T","H","year","date","R"
22.34,78.05,2000,2000-01-01,1760.8
22.41,78.32,2001,2001-01-01,1676.49
22.89,76.83,2002,2002-01-01,1622.16
23.07,76.79,2003,2003-01-01,1716.37
22.7,78.83,2004,2004-01-01,1672.37
23.13,78.11,2005,2005-01-01,2026.91
22.76,79.89,2006,2006-01-01,2076.9
22.96,77.68,2007,2007-01-01,1808.31
22.63,77.92,2008,2008-01-01,2060.11
23.36,75.25,2009,2009-01-01,1544.58
23.25,76.7,2010,2010-01-01,2174.18
23.33,76.44,2011,2011-01-01,2075.56
23.15,77.2,2012,2012-01-01,1742.65
23.37,78.81,2013,2013-01-01,2112.06
23.19,78.78,2014,2014-01-01,1934.41
23.68,77.93,2015,2015-01-01,1741.36
23.65,78.38,2016,2016-01-01,1667
23.41,78.3,2017,2017-01-01,1947.39
23.29,77.13,2018,2018-01-01,1630.8
24.03,74.8,2019,2019-01-01,1540.86
23.91,77.35,2020,2020-01-01,2196.92
23.91,77.35,2021,2021-01-01,2196.92
23.91,77.35,2022,2022-01-01,2196.92
