"T","H","year","date","R"
22.8,78.06,2000,2000-01-01,1418.44
23.03,77.7,2001,2001-01-01,1488.93
23.51,78.01,2002,2002-01-01,1473.59
23.63,78.69,2003,2003-01-01,1620.61
23.5,78.87,2004,2004-01-01,1486.26
23.76,79.25,2005,2005-01-01,1991.49
23.61,78.9,2006,2006-01-01,1692
23.53,78.35,2007,2007-01-01,1714.67
23.34,78.65,2008,2008-01-01,1931.36
23.61,77.87,2009,2009-01-01,1461.45
23.47,80.06,2010,2010-01-01,1943.2
23.55,79.17,2011,2011-01-01,1802.63
23.45,79.54,2012,2012-01-01,1533.96
23.81,80.16,2013,2013-01-01,1675.67
23.76,79.07,2014,2014-01-01,1649.24
24.17,79.04,2015,2015-01-01,1531.58
24.19,79.28,2016,2016-01-01,1609.93
23.83,80.57,2017,2017-01-01,1995.66
23.66,79.19,2018,2018-01-01,1564.78
24.37,76.23,2019,2019-01-01,1327.11
24.32,78.96,2020,2020-01-01,1991.03
24.18,78.31,2021,2021-01-01,1406.88
23.87,79.52,2022,2022-01-01,1822.07
24.69,76.97,2023,2023-01-01,1601.94
