"T","H","year","date","R"
22.95,77.64,2000,2000-01-01,1413.23
23.19,77.27,2001,2001-01-01,1482.44
23.67,77.54,2002,2002-01-01,1466.25
23.78,78.22,2003,2003-01-01,1613.17
23.67,78.34,2004,2004-01-01,1480.02
23.91,78.75,2005,2005-01-01,1985.41
23.75,78.45,2006,2006-01-01,1684.08
23.69,77.88,2007,2007-01-01,1711.53
23.49,78.25,2008,2008-01-01,1924.93
23.76,77.39,2009,2009-01-01,1453.74
23.62,79.55,2010,2010-01-01,1937.62
23.7,78.69,2011,2011-01-01,1794.73
23.62,79.01,2012,2012-01-01,1522.18
23.97,79.59,2013,2013-01-01,1673.09
23.92,78.53,2014,2014-01-01,1644.73
24.33,78.49,2015,2015-01-01,1523.22
24.33,78.82,2016,2016-01-01,1606.68
23.99,80.07,2017,2017-01-01,1984.14
23.82,78.7,2018,2018-01-01,1556.88
24.53,75.69,2019,2019-01-01,1314.35
24.46,78.56,2020,2020-01-01,1987.11
24.46,78.56,2021,2021-01-01,1987.11
24.46,78.56,2022,2022-01-01,1987.11
