"T","H","year","date","R"
20.79,58.69,2000,2000-01-01,747.79
20.67,59.8,2001,2001-01-01,749.58
20.82,58.57,2002,2002-01-01,760.4
20.87,59.15,2003,2003-01-01,783.92
20.36,61.38,2004,2004-01-01,786.79
20.97,58.63,2005,2005-01-01,774.31
21.03,58.66,2006,2006-01-01,850.06
20.69,59.87,2007,2007-01-01,840.28
20.72,57.95,2008,2008-01-01,912.5
21.19,58.14,2009,2009-01-01,734.37
20.47,59.16,2010,2010-01-01,954.43
21.26,55.06,2011,2011-01-01,721.4
21.24,57.61,2012,2012-01-01,760.99
20.8,59.23,2013,2013-01-01,978.58
20.99,59.63,2014,2014-01-01,878.45
21.06,62.69,2015,2015-01-01,892.32
21.23,60.06,2016,2016-01-01,835.59
21.39,58.96,2017,2017-01-01,832.12
21.06,60.77,2018,2018-01-01,854.85
21.35,59.9,2019,2019-01-01,752.25
21.58,57.81,2020,2020-01-01,765.26
21.25,58.39,2021,2021-01-01,835.63
20.98,58.37,2022,2022-01-01,791.25
21.69,56.43,2023,2023-01-01,630.98
