"T","H","year","date","R"
20.79,58.56,2000,2000-01-01,746.45
20.66,59.66,2001,2001-01-01,748.91
20.81,58.43,2002,2002-01-01,760
20.86,59.04,2003,2003-01-01,782.75
20.36,61.27,2004,2004-01-01,785.5
20.96,58.54,2005,2005-01-01,773.5
21.02,58.49,2006,2006-01-01,849.83
20.68,59.74,2007,2007-01-01,839.88
20.73,57.8,2008,2008-01-01,912.09
21.18,57.95,2009,2009-01-01,733.48
20.45,59.06,2010,2010-01-01,954.15
21.25,54.86,2011,2011-01-01,720.57
21.23,57.5,2012,2012-01-01,759.25
20.8,59.06,2013,2013-01-01,979.26
20.99,59.46,2014,2014-01-01,878.9
21.06,62.58,2015,2015-01-01,890.93
21.23,59.9,2016,2016-01-01,833.69
21.39,58.78,2017,2017-01-01,831.47
21.06,60.67,2018,2018-01-01,853.19
21.35,59.78,2019,2019-01-01,750.45
21.58,57.7,2020,2020-01-01,764.85
21.58,57.7,2021,2021-01-01,764.85
21.58,57.7,2022,2022-01-01,764.85
