"T","H","year","date","R"
24.71,79.38,2000,2000-01-01,1499.24
24.98,78.99,2001,2001-01-01,1509.24
25.38,79.96,2002,2002-01-01,1653.37
25.44,80.46,2003,2003-01-01,1632.72
25.27,79.94,2004,2004-01-01,1698.2
25.55,79.69,2005,2005-01-01,1973.87
25.37,80.09,2006,2006-01-01,1678.95
25.37,80.37,2007,2007-01-01,1836.65
25.13,80.54,2008,2008-01-01,1938.88
25.35,79.81,2009,2009-01-01,1710.99
25.42,80.34,2010,2010-01-01,2120.23
25.2,81.61,2011,2011-01-01,1849.28
25.2,81.35,2012,2012-01-01,1636.78
25.45,81.66,2013,2013-01-01,1851.04
25.55,79.88,2014,2014-01-01,1758.12
25.83,80.21,2015,2015-01-01,1673.84
25.88,80.29,2016,2016-01-01,1941.12
25.53,82.34,2017,2017-01-01,2098.02
25.43,80.78,2018,2018-01-01,1776.23
25.86,79.66,2019,2019-01-01,1632.61
25.81,81.5,2020,2020-01-01,2262.43
25.54,81.31,2021,2021-01-01,1585.49
25.34,82.49,2022,2022-01-01,2284.95
26.13,80.51,2023,2023-01-01,1731.79
