"T","H","year","date","R"
24.84,79.07,2000,2000-01-01,1524.61
25.1,78.69,2001,2001-01-01,1525.86
25.5,79.63,2002,2002-01-01,1667.31
25.56,80.09,2003,2003-01-01,1650.42
25.39,79.58,2004,2004-01-01,1727.13
25.65,79.41,2005,2005-01-01,1986.16
25.48,79.73,2006,2006-01-01,1691.66
25.48,80.07,2007,2007-01-01,1849.59
25.24,80.25,2008,2008-01-01,1967.69
25.46,79.48,2009,2009-01-01,1714.74
25.53,80.05,2010,2010-01-01,2146.64
25.31,81.29,2011,2011-01-01,1861.29
25.32,80.97,2012,2012-01-01,1643.25
25.56,81.31,2013,2013-01-01,1859.57
25.66,79.57,2014,2014-01-01,1767.74
25.93,79.89,2015,2015-01-01,1678.93
25.98,79.98,2016,2016-01-01,1962.65
25.63,81.97,2017,2017-01-01,2120.25
25.53,80.49,2018,2018-01-01,1783.55
25.96,79.39,2019,2019-01-01,1651.13
25.9,81.22,2020,2020-01-01,2278.89
25.9,81.22,2021,2021-01-01,2278.89
25.9,81.22,2022,2022-01-01,2278.89
