"T","H","year","date","R"
24.29,85.76,2000,2000-01-01,3154.19
24.57,85.26,2001,2001-01-01,2960.46
25,84.69,2002,2002-01-01,2789.64
24.91,85.21,2003,2003-01-01,3268.68
25.11,85.33,2004,2004-01-01,3104.77
25.15,85.9,2005,2005-01-01,3379.94
25.04,85.61,2006,2006-01-01,3172.49
25.03,85.63,2007,2007-01-01,3626.4
24.73,85.34,2008,2008-01-01,3482.59
25.22,85.1,2009,2009-01-01,3136.45
25.29,85.97,2010,2010-01-01,4036.68
24.9,85.78,2011,2011-01-01,3677.27
25.11,84.67,2012,2012-01-01,3094.98
25.22,85.27,2013,2013-01-01,2914.03
25.4,85.11,2014,2014-01-01,3001.8
25.78,84.64,2015,2015-01-01,2894.77
25.56,84.45,2016,2016-01-01,3176.36
25.33,85.61,2017,2017-01-01,3075.6
25.11,85.71,2018,2018-01-01,2977.91
25.46,84.76,2019,2019-01-01,2591.36
25.36,85.42,2020,2020-01-01,3127.39
25.03,85.51,2021,2021-01-01,3261.28
24.87,85.06,2022,2022-01-01,3497.29
25.69,83.67,2023,2023-01-01,2789.19
