"T","H","year","date","R"
18.35,80.67,2000,2000-01-01,2173.29
18.38,80.73,2001,2001-01-01,2081.55
18.68,80.75,2002,2002-01-01,2101.64
18.69,79.07,2003,2003-01-01,2036.32
18.63,79.45,2004,2004-01-01,1991.61
18.9,77.52,2005,2005-01-01,1905.1
18.74,78.76,2006,2006-01-01,2031.29
18.63,78.99,2007,2007-01-01,2064.91
18.64,78.78,2008,2008-01-01,2120.34
18.88,79.56,2009,2009-01-01,2287.15
19.14,77.87,2010,2010-01-01,1938.33
18.62,79.54,2011,2011-01-01,2144.81
18.76,79.59,2012,2012-01-01,2272.07
18.75,79.82,2013,2013-01-01,2206.8
18.86,79.76,2014,2014-01-01,2263.51
19.25,79.75,2015,2015-01-01,2261.11
19.38,78.04,2016,2016-01-01,2059.8
18.99,79.48,2017,2017-01-01,2355.38
18.65,79.59,2018,2018-01-01,2204.6
18.99,79.06,2019,2019-01-01,2362.1
19.32,77.43,2020,2020-01-01,2011.89
18.97,78.2,2021,2021-01-01,2220.89
18.85,76.28,2022,2022-01-01,2002.03
19.64,76.99,2023,2023-01-01,2094.42
