"T","H","year","date","R"
23.42,69.31,2000,2000-01-01,1484.96
24.06,69.26,2001,2001-01-01,1385.2
24.6,67.05,2002,2002-01-01,1220.91
23.99,66.1,2003,2003-01-01,1307.04
23.6,67.2,2004,2004-01-01,1177.27
23.72,67.95,2005,2005-01-01,1262.81
24.37,67.53,2006,2006-01-01,1282.35
23.76,67.37,2007,2007-01-01,1272.38
23.62,67.75,2008,2008-01-01,1294.7
24.1,67.02,2009,2009-01-01,1287.43
23.53,66.21,2010,2010-01-01,1250.59
23.73,68.58,2011,2011-01-01,1267.52
24.36,67.05,2012,2012-01-01,1222.94
23.77,66.48,2013,2013-01-01,1213.97
24.42,69.9,2014,2014-01-01,1529.54
24.71,71.38,2015,2015-01-01,1674.46
23.43,68.86,2016,2016-01-01,1355.11
24.5,68.63,2017,2017-01-01,1453.94
23.69,70.74,2018,2018-01-01,1361.98
24.48,68.23,2019,2019-01-01,1283.74
24.85,60.66,2020,2020-01-01,942.25
24.1,64.5,2021,2021-01-01,1005.87
24.02,62.15,2022,2022-01-01,1045.73
25.32,66.37,2023,2023-01-01,1142.46
