"T","H","year","date","R"
24.34,85.56,2000,2000-01-01,3143.18
24.61,85.01,2001,2001-01-01,2964.15
25.04,84.46,2002,2002-01-01,2773.43
24.96,85,2003,2003-01-01,3247.24
25.15,85.14,2004,2004-01-01,3094.34
25.19,85.67,2005,2005-01-01,3370.24
25.08,85.41,2006,2006-01-01,3148.76
25.07,85.42,2007,2007-01-01,3594.42
24.77,85.17,2008,2008-01-01,3437.13
25.26,84.89,2009,2009-01-01,3110.07
25.33,85.79,2010,2010-01-01,4019.68
24.93,85.61,2011,2011-01-01,3658.17
25.15,84.47,2012,2012-01-01,3076.7
25.26,85.07,2013,2013-01-01,2890.93
25.44,84.88,2014,2014-01-01,2979.82
25.83,84.43,2015,2015-01-01,2853.74
25.6,84.25,2016,2016-01-01,3149.7
25.37,85.41,2017,2017-01-01,3065.66
25.15,85.5,2018,2018-01-01,2948.7
25.5,84.53,2019,2019-01-01,2572.7
25.4,85.24,2020,2020-01-01,3104.11
25.4,85.24,2021,2021-01-01,3104.11
25.4,85.24,2022,2022-01-01,3104.11
