"T","H","year","date","R"
23.43,69.2,2000,2000-01-01,1484.44
24.07,69.22,2001,2001-01-01,1385.02
24.59,66.97,2002,2002-01-01,1216.68
24,65.99,2003,2003-01-01,1308.65
23.61,67.07,2004,2004-01-01,1180.13
23.73,67.84,2005,2005-01-01,1258.21
24.38,67.42,2006,2006-01-01,1285.79
23.78,67.28,2007,2007-01-01,1267.56
23.62,67.64,2008,2008-01-01,1295.74
24.11,66.9,2009,2009-01-01,1290.12
23.56,66.09,2010,2010-01-01,1247.66
23.74,68.53,2011,2011-01-01,1270.25
24.36,66.95,2012,2012-01-01,1218.67
23.79,66.38,2013,2013-01-01,1214.13
24.43,69.77,2014,2014-01-01,1527.11
24.72,71.28,2015,2015-01-01,1676.66
23.44,68.75,2016,2016-01-01,1357.96
24.5,68.54,2017,2017-01-01,1452.39
23.71,70.66,2018,2018-01-01,1361.47
24.5,68.08,2019,2019-01-01,1282.64
24.85,60.52,2020,2020-01-01,940.48
24.85,60.52,2021,2021-01-01,940.48
24.85,60.52,2022,2022-01-01,940.48
