"T","H","year","date","R"
18.35,80.67,2000,2000-01-01,2170.39
18.38,80.74,2001,2001-01-01,2079.03
18.67,80.78,2002,2002-01-01,2100.08
18.69,79.1,2003,2003-01-01,2035.25
18.62,79.46,2004,2004-01-01,1990.57
18.89,77.55,2005,2005-01-01,1903.47
18.74,78.79,2006,2006-01-01,2027.98
18.63,78.98,2007,2007-01-01,2062.94
18.63,78.79,2008,2008-01-01,2117.16
18.88,79.59,2009,2009-01-01,2285.14
19.14,77.88,2010,2010-01-01,1936.87
18.61,79.58,2011,2011-01-01,2142.73
18.76,79.61,2012,2012-01-01,2269.51
18.74,79.85,2013,2013-01-01,2203.51
18.86,79.78,2014,2014-01-01,2262.39
19.25,79.77,2015,2015-01-01,2259.09
19.37,78.07,2016,2016-01-01,2055.57
18.99,79.51,2017,2017-01-01,2353.45
18.65,79.62,2018,2018-01-01,2203.44
18.99,79.11,2019,2019-01-01,2357.91
19.32,77.47,2020,2020-01-01,2009.93
19.32,77.47,2021,2021-01-01,2009.93
19.32,77.47,2022,2022-01-01,2009.93
