"T","H","year","date","R"
25.27,68.97,2000,2000-01-01,1338.53
25.51,67.96,2001,2001-01-01,1156.13
26.03,67.33,2002,2002-01-01,1326.12
25.75,70.89,2003,2003-01-01,1465.75
25.84,69.37,2004,2004-01-01,1439.73
25.66,72.2,2005,2005-01-01,2063.81
25.75,70.22,2006,2006-01-01,1561.04
25.59,69.16,2007,2007-01-01,1681.66
25.2,70.43,2008,2008-01-01,2089.17
26.08,67.44,2009,2009-01-01,1291.78
25.63,70.87,2010,2010-01-01,2316.36
25.64,70.89,2011,2011-01-01,1882.76
25.93,67.66,2012,2012-01-01,1263.81
26.1,70.52,2013,2013-01-01,1393.21
26.27,68.45,2014,2014-01-01,1375.96
26.92,66.73,2015,2015-01-01,1300.7
26.61,69.07,2016,2016-01-01,1273.35
26.24,69.62,2017,2017-01-01,1671.48
26.39,67.01,2018,2018-01-01,1444.88
26.73,67.52,2019,2019-01-01,1433.52
26.34,72.05,2020,2020-01-01,1983.3
26.54,68.89,2021,2021-01-01,1512.91
26.16,71,2022,2022-01-01,1955.49
27.04,67.86,2023,2023-01-01,1342.95
