"T","H","year","date","R"
17.25,73.37,2000,2000-01-01,1489.84
18.02,78.39,2001,2001-01-01,1540.68
17.49,77.63,2002,2002-01-01,2001.68
17.01,75.01,2003,2003-01-01,1398.44
17.61,72.51,2004,2004-01-01,967.69
17.71,72.58,2005,2005-01-01,1219.91
17.89,71.67,2006,2006-01-01,1130.7
17.12,74.2,2007,2007-01-01,1360.79
17.77,71.24,2008,2008-01-01,823.46
17.35,72.95,2009,2009-01-01,1317.94
17.35,73.88,2010,2010-01-01,1254.32
17.3,72.49,2011,2011-01-01,1082.78
18.05,73.79,2012,2012-01-01,1328.27
17.23,73.14,2013,2013-01-01,1089.04
17.8,76.71,2014,2014-01-01,1612.76
17.87,73.83,2015,2015-01-01,1236.62
17.24,75.83,2016,2016-01-01,1347.12
18.41,75.45,2017,2017-01-01,1375.3
17.95,74.49,2018,2018-01-01,1125.62
17.68,75.96,2019,2019-01-01,1603.54
17.61,71.37,2020,2020-01-01,856.93
17.66,74.07,2021,2021-01-01,1051.27
17.19,72.64,2022,2022-01-01,928.73
18.11,73.13,2023,2023-01-01,1170.08
