"T","H","year","date","R"
17.27,73.3,2000,2000-01-01,1491.22
18.06,78.31,2001,2001-01-01,1539.67
17.51,77.52,2002,2002-01-01,2001.06
17.05,74.97,2003,2003-01-01,1398.23
17.64,72.46,2004,2004-01-01,970.51
17.75,72.52,2005,2005-01-01,1220.69
17.93,71.55,2006,2006-01-01,1129.37
17.17,74.1,2007,2007-01-01,1361.12
17.79,71.16,2008,2008-01-01,825.67
17.39,72.88,2009,2009-01-01,1316.92
17.4,73.86,2010,2010-01-01,1254.59
17.35,72.41,2011,2011-01-01,1081.52
18.08,73.72,2012,2012-01-01,1323.89
17.27,73.08,2013,2013-01-01,1094.62
17.83,76.66,2014,2014-01-01,1611.93
17.9,73.71,2015,2015-01-01,1236.65
17.27,75.76,2016,2016-01-01,1346.4
18.45,75.4,2017,2017-01-01,1367.7
18,74.36,2018,2018-01-01,1133.18
17.73,75.85,2019,2019-01-01,1598.06
17.63,71.31,2020,2020-01-01,856.86
17.63,71.31,2021,2021-01-01,856.86
17.63,71.31,2022,2022-01-01,856.86
