"T","H","year","date","R"
24.79,79.32,2000,2000-01-01,2178.99
25.1,78.23,2001,2001-01-01,1974.87
25.28,78.97,2002,2002-01-01,2168.32
25.44,78.75,2003,2003-01-01,2251.15
25.36,80.22,2004,2004-01-01,2345.25
25.71,79.41,2005,2005-01-01,2203.98
25.55,79.49,2006,2006-01-01,2272.7
25.63,77.87,2007,2007-01-01,2277.57
25.35,79.16,2008,2008-01-01,2384.55
25.86,77.15,2009,2009-01-01,1875.3
25.95,79.12,2010,2010-01-01,2669.67
25.45,80.66,2011,2011-01-01,2534.54
25.48,79.89,2012,2012-01-01,2367.17
25.82,77.94,2013,2013-01-01,2211.08
25.89,76.42,2014,2014-01-01,2049.13
26.26,75.44,2015,2015-01-01,1923.72
26.15,78.31,2016,2016-01-01,2299.71
25.54,79.88,2017,2017-01-01,2266.78
25.57,77.89,2018,2018-01-01,2170.61
25.8,77.01,2019,2019-01-01,2061.57
25.96,75.93,2020,2020-01-01,2005.04
25.21,79.25,2021,2021-01-01,2248.14
25.27,78.93,2022,2022-01-01,2261.93
26.16,76.09,2023,2023-01-01,1783.81
