"T","H","year","date","R"
24.79,79.1,2000,2000-01-01,2176.03
25.1,77.95,2001,2001-01-01,1972.06
25.29,78.71,2002,2002-01-01,2164.13
25.45,78.5,2003,2003-01-01,2246.55
25.37,80.01,2004,2004-01-01,2340.57
25.72,79.18,2005,2005-01-01,2201.38
25.55,79.25,2006,2006-01-01,2269.29
25.64,77.53,2007,2007-01-01,2273.31
25.35,78.95,2008,2008-01-01,2381.25
25.86,76.92,2009,2009-01-01,1872.67
25.96,78.88,2010,2010-01-01,2664.32
25.45,80.44,2011,2011-01-01,2529.08
25.48,79.65,2012,2012-01-01,2361
25.82,77.71,2013,2013-01-01,2205.47
25.9,76.17,2014,2014-01-01,2045.16
26.26,75.19,2015,2015-01-01,1919.55
26.16,78.1,2016,2016-01-01,2295.13
25.55,79.59,2017,2017-01-01,2260.02
25.57,77.64,2018,2018-01-01,2168.46
25.8,76.74,2019,2019-01-01,2057.29
25.97,75.69,2020,2020-01-01,1999.65
25.97,75.69,2021,2021-01-01,1999.65
25.97,75.69,2022,2022-01-01,1999.65
