Variable:,hurs
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1970,57.94,,,,,,,,,,,,,,,,,,,,,,,,
1971,57.85,,,,,,,,,,,,,,,,,,,,,,,,
1972,61.40,,,,,,,,,,,,,,,,,,,,,,,,
1973,62.01,,,,,,,,,,,,,,,,,,,,,,,,
1974,60.78,,,,,,,,,,,,,,,,,,,,,,,,
1975,61.15,,,,,,,,,,,,,,,,,,,,,,,,
1976,60.72,,,,,,,,,,,,,,,,,,,,,,,,
1977,61.75,,,,,,,,,,,,,,,,,,,,,,,,
1978,61.09,,,,,,,,,,,,,,,,,,,,,,,,
1979,61.07,,,,,,,,,,,,,,,,,,,,,,,,
1980,60.33,,,,,,,,,,,,,,,,,,,,,,,,
1981,62.21,,,,,,,,,,,,,,,,,,,,,,,,
1982,62.94,,,,,,,,,,,,,,,,,,,,,,,,
1983,61.81,,,,,,,,,,,,,,,,,,,,,,,,
1984,65.40,,,,,,,,,,,,,,,,,,,,,,,,
1985,63.47,,,,,,,,,,,,,,,,,,,,,,,,
1986,62.19,,,,,,,,,,,,,,,,,,,,,,,,
1987,61.95,,,,,,,,,,,,,,,,,,,,,,,,
1988,57.73,,,,,,,,,,,,,,,,,,,,,,,,
1989,58.98,,,,,,,,,,,,,,,,,,,,,,,,
1990,60.88,,,,,,,,,,,,,,,,,,,,,,,,
1991,62.81,,,,,,,,,,,,,,,,,,,,,,,,
1992,63.67,,,,,,,,,,,,,,,,,,,,,,,,
1993,60.69,,,,,,,,,,,,,,,,,,,,,,,,
1994,59.86,,,,,,,,,,,,,,,,,,,,,,,,
1995,56.60,,,,,,,,,,,,,,,,,,,,,,,,
1996,58.74,,,,,,,,,,,,,,,,,,,,,,,,
1997,61.27,,,,,,,,,,,,,,,,,,,,,,,,
1998,61.68,,,,,,,,,,,,,,,,,,,,,,,,
1999,61.46,,,,,,,,,,,,,,,,,,,,,,,,
2000,62.83,,,,,,,,,,,,,,,,,,,,,,,,
2001,63.54,,,,,,,,,,,,,,,,,,,,,,,,
2002,62.26,,,,,,,,,,,,,,,,,,,,,,,,
2003,58.15,,,,,,,,,,,,,,,,,,,,,,,,
2004,59.64,,,,,,,,,,,,,,,,,,,,,,,,
2005,58.90,,,,,,,,,,,,,,,,,,,,,,,,
2006,58.34,,,,,,,,,,,,,,,,,,,,,,,,
2007,58.37,,,,,,,,,,,,,,,,,,,,,,,,
2008,57.14,,,,,,,,,,,,,,,,,,,,,,,,
2009,54.36,,,,,,,,,,,,,,,,,,,,,,,,
2010,57.76,,,,,,,,,,,,,,,,,,,,,,,,
2011,57.62,,,,,,,,,,,,,,,,,,,,,,,,
2012,57.76,,,,,,,,,,,,,,,,,,,,,,,,
2013,55.88,,,,,,,,,,,,,,,,,,,,,,,,
2014,60.11,,,,,,,,,,,,,,,,,,,,,,,,
2015,60.34,,,,,,,,,,,,,,,,,,,,,,,,
2016,62.02,,,,,,,,,,,,,,,,,,,,,,,,
2017,60.57,,,,,,,,,,,,,,,,,,,,,,,,
2018,58.93,,,,,,,,,,,,,,,,,,,,,,,,
2019,58.07,,,,,,,,,,,,,,,,,,,,,,,,
2020,55.19,,,,,,,,,,,,,,,,,,,,,,,,
