Variable:,hurs
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
1970,69.36,,,,,,,,,
1971,69.91,,,,,,,,,
1972,68.81,,,,,,,,,
1973,70.45,,,,,,,,,
1974,71.66,,,,,,,,,
1975,70.64,,,,,,,,,
1976,69.48,,,,,,,,,
1977,72.18,,,,,,,,,
1978,69.65,,,,,,,,,
1979,70.23,,,,,,,,,
1980,70.14,,,,,,,,,
1981,72.01,,,,,,,,,
1982,73.75,,,,,,,,,
1983,70.75,,,,,,,,,
1984,73.61,,,,,,,,,
1985,73.80,,,,,,,,,
1986,72.31,,,,,,,,,
1987,69.45,,,,,,,,,
1988,69.97,,,,,,,,,
1989,70.88,,,,,,,,,
1990,71.35,,,,,,,,,
1991,71.03,,,,,,,,,
1992,71.50,,,,,,,,,
1993,69.53,,,,,,,,,
1994,69.22,,,,,,,,,
1995,67.61,,,,,,,,,
1996,70.27,,,,,,,,,
1997,70.72,,,,,,,,,
1998,69.74,,,,,,,,,
1999,69.75,,,,,,,,,
2000,69.94,,,,,,,,,
2001,71.31,,,,,,,,,
2002,70.25,,,,,,,,,
2003,68.76,,,,,,,,,
2004,70.21,,,,,,,,,
2005,69.22,,,,,,,,,
2006,69.84,,,,,,,,,
2007,69.00,,,,,,,,,
2008,68.66,,,,,,,,,
2009,69.76,,,,,,,,,
2010,65.02,,,,,,,,,
2011,68.81,,,,,,,,,
2012,70.15,,,,,,,,,
2013,69.33,,,,,,,,,
2014,70.30,,,,,,,,,
2015,70.19,,,,,,,,,
2016,66.82,,,,,,,,,
2017,69.12,,,,,,,,,
2018,69.97,,,,,,,,,
2019,67.87,,,,,,,,,
2020,64.68,,,,,,,,,
