Variable:,hurs
,Brazil,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,"Distrito Federal","Espirito Santo",Goias,Maranhao,"Mato Grosso","Mato Grosso Do Sul","Minas Gerais",Para,Paraiba,Parana,Pernambuco,Piaui,"Rio De Janeiro","Rio Grande Do Norte","Rio Grande Do Sul",Rondonia,Roraima,"Santa Catarina","Sao Paulo",Sergipe,Tocantins,"Name Unknown","Name Unknown","Name Unknown","Name Unknown"
1970,76.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,78.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,77.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,78.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,77.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,77.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,78.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,78.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,78.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,77.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,76.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,78.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,77.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,78.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,78.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,78.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,76.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,77.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,78.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,77.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,77.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,78.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,77.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,77.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,76.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,77.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,76.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,76.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,76.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,78.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,77.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,75.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,75.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,76.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,75.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,74.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,75.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,77.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,74.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,75.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,73.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,75.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,75.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,74.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,74.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,74.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,75.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,74.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,73.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
