Variable:,hurs
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1970,63.78,,,,,,,,,,,,,,,
1971,63.62,,,,,,,,,,,,,,,
1972,64.66,,,,,,,,,,,,,,,
1973,64.59,,,,,,,,,,,,,,,
1974,64.11,,,,,,,,,,,,,,,
1975,66.97,,,,,,,,,,,,,,,
1976,65.71,,,,,,,,,,,,,,,
1977,65.24,,,,,,,,,,,,,,,
1978,64.46,,,,,,,,,,,,,,,
1979,63.13,,,,,,,,,,,,,,,
1980,64.53,,,,,,,,,,,,,,,
1981,64.41,,,,,,,,,,,,,,,
1982,64.93,,,,,,,,,,,,,,,
1983,65.90,,,,,,,,,,,,,,,
1984,66.59,,,,,,,,,,,,,,,
1985,65.53,,,,,,,,,,,,,,,
1986,65.30,,,,,,,,,,,,,,,
1987,66.12,,,,,,,,,,,,,,,
1988,64.21,,,,,,,,,,,,,,,
1989,64.72,,,,,,,,,,,,,,,
1990,63.73,,,,,,,,,,,,,,,
1991,64.61,,,,,,,,,,,,,,,
1992,64.66,,,,,,,,,,,,,,,
1993,64.32,,,,,,,,,,,,,,,
1994,63.56,,,,,,,,,,,,,,,
1995,61.89,,,,,,,,,,,,,,,
1996,61.88,,,,,,,,,,,,,,,
1997,64.62,,,,,,,,,,,,,,,
1998,62.46,,,,,,,,,,,,,,,
1999,63.19,,,,,,,,,,,,,,,
2000,64.09,,,,,,,,,,,,,,,
2001,64.70,,,,,,,,,,,,,,,
2002,64.68,,,,,,,,,,,,,,,
2003,62.64,,,,,,,,,,,,,,,
2004,63.48,,,,,,,,,,,,,,,
2005,62.99,,,,,,,,,,,,,,,
2006,63.33,,,,,,,,,,,,,,,
2007,62.61,,,,,,,,,,,,,,,
2008,62.17,,,,,,,,,,,,,,,
2009,62.33,,,,,,,,,,,,,,,
2010,61.96,,,,,,,,,,,,,,,
2011,63.18,,,,,,,,,,,,,,,
2012,63.25,,,,,,,,,,,,,,,
2013,61.85,,,,,,,,,,,,,,,
2014,61.35,,,,,,,,,,,,,,,
2015,61.15,,,,,,,,,,,,,,,
2016,61.19,,,,,,,,,,,,,,,
2017,63.23,,,,,,,,,,,,,,,
2018,61.87,,,,,,,,,,,,,,,
2019,60.67,,,,,,,,,,,,,,,
2020,61.45,,,,,,,,,,,,,,,
