Variable:,hurs
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1970,84.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,85.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,84.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,84.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,84.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,85.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,84.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,83.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,84.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,84.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,82.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,84.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,85.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,84.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,85.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,83.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,85.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,85.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,84.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,84.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,85.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,84.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,84.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,85.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,85.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,83.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,85.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,83.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,85.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,86.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,84.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,84.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,83.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,84.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,83.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,84.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,84.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,83.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,84.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,84.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,84.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,84.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,83.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,83.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,83.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,83.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,83.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,83.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,83.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,83.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,81.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
