Variable:,hurs
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
1970,86.06,,,,,,,
1971,85.23,,,,,,,
1972,85.23,,,,,,,
1973,85.27,,,,,,,
1974,84.94,,,,,,,
1975,84.24,,,,,,,
1976,84.47,,,,,,,
1977,83.74,,,,,,,
1978,85.40,,,,,,,
1979,85.27,,,,,,,
1980,84.90,,,,,,,
1981,86.05,,,,,,,
1982,83.95,,,,,,,
1983,84.10,,,,,,,
1984,84.32,,,,,,,
1985,83.78,,,,,,,
1986,84.17,,,,,,,
1987,83.42,,,,,,,
1988,84.57,,,,,,,
1989,83.66,,,,,,,
1990,83.89,,,,,,,
1991,83.91,,,,,,,
1992,83.68,,,,,,,
1993,84.98,,,,,,,
1994,83.33,,,,,,,
1995,85.49,,,,,,,
1996,85.62,,,,,,,
1997,84.19,,,,,,,
1998,84.58,,,,,,,
1999,85.72,,,,,,,
2000,84.95,,,,,,,
2001,84.12,,,,,,,
2002,83.68,,,,,,,
2003,84.85,,,,,,,
2004,84.40,,,,,,,
2005,84.76,,,,,,,
2006,84.22,,,,,,,
2007,84.63,,,,,,,
2008,84.35,,,,,,,
2009,84.27,,,,,,,
2010,85.77,,,,,,,
2011,85.41,,,,,,,
2012,83.68,,,,,,,
2013,83.71,,,,,,,
2014,82.98,,,,,,,
2015,82.94,,,,,,,
2016,83.21,,,,,,,
2017,84.60,,,,,,,
2018,83.66,,,,,,,
2019,83.21,,,,,,,
2020,84.36,,,,,,,
