Variable:,hurs
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
1970,83.60,,,,,,,,,,,,,,,,,,,,,,,,,
1971,85.30,,,,,,,,,,,,,,,,,,,,,,,,,
1972,84.42,,,,,,,,,,,,,,,,,,,,,,,,,
1973,85.52,,,,,,,,,,,,,,,,,,,,,,,,,
1974,85.82,,,,,,,,,,,,,,,,,,,,,,,,,
1975,85.04,,,,,,,,,,,,,,,,,,,,,,,,,
1976,84.57,,,,,,,,,,,,,,,,,,,,,,,,,
1977,81.93,,,,,,,,,,,,,,,,,,,,,,,,,
1978,82.05,,,,,,,,,,,,,,,,,,,,,,,,,
1979,82.97,,,,,,,,,,,,,,,,,,,,,,,,,
1980,82.59,,,,,,,,,,,,,,,,,,,,,,,,,
1981,83.21,,,,,,,,,,,,,,,,,,,,,,,,,
1982,84.26,,,,,,,,,,,,,,,,,,,,,,,,,
1983,85.60,,,,,,,,,,,,,,,,,,,,,,,,,
1984,85.51,,,,,,,,,,,,,,,,,,,,,,,,,
1985,84.21,,,,,,,,,,,,,,,,,,,,,,,,,
1986,86.01,,,,,,,,,,,,,,,,,,,,,,,,,
1987,85.22,,,,,,,,,,,,,,,,,,,,,,,,,
1988,85.15,,,,,,,,,,,,,,,,,,,,,,,,,
1989,84.74,,,,,,,,,,,,,,,,,,,,,,,,,
1990,84.25,,,,,,,,,,,,,,,,,,,,,,,,,
1991,84.59,,,,,,,,,,,,,,,,,,,,,,,,,
1992,84.38,,,,,,,,,,,,,,,,,,,,,,,,,
1993,85.23,,,,,,,,,,,,,,,,,,,,,,,,,
1994,85.25,,,,,,,,,,,,,,,,,,,,,,,,,
1995,85.47,,,,,,,,,,,,,,,,,,,,,,,,,
1996,86.39,,,,,,,,,,,,,,,,,,,,,,,,,
1997,86.57,,,,,,,,,,,,,,,,,,,,,,,,,
1998,87.00,,,,,,,,,,,,,,,,,,,,,,,,,
1999,87.77,,,,,,,,,,,,,,,,,,,,,,,,,
2000,86.97,,,,,,,,,,,,,,,,,,,,,,,,,
2001,86.47,,,,,,,,,,,,,,,,,,,,,,,,,
2002,86.98,,,,,,,,,,,,,,,,,,,,,,,,,
2003,87.39,,,,,,,,,,,,,,,,,,,,,,,,,
2004,85.75,,,,,,,,,,,,,,,,,,,,,,,,,
2005,85.27,,,,,,,,,,,,,,,,,,,,,,,,,
2006,85.22,,,,,,,,,,,,,,,,,,,,,,,,,
2007,85.83,,,,,,,,,,,,,,,,,,,,,,,,,
2008,85.71,,,,,,,,,,,,,,,,,,,,,,,,,
2009,84.95,,,,,,,,,,,,,,,,,,,,,,,,,
2010,84.69,,,,,,,,,,,,,,,,,,,,,,,,,
2011,84.26,,,,,,,,,,,,,,,,,,,,,,,,,
2012,84.60,,,,,,,,,,,,,,,,,,,,,,,,,
2013,84.82,,,,,,,,,,,,,,,,,,,,,,,,,
2014,85.33,,,,,,,,,,,,,,,,,,,,,,,,,
2015,84.64,,,,,,,,,,,,,,,,,,,,,,,,,
2016,84.48,,,,,,,,,,,,,,,,,,,,,,,,,
2017,85.54,,,,,,,,,,,,,,,,,,,,,,,,,
2018,84.98,,,,,,,,,,,,,,,,,,,,,,,,,
2019,85.48,,,,,,,,,,,,,,,,,,,,,,,,,
2020,83.67,,,,,,,,,,,,,,,,,,,,,,,,,
