Variable:,hurs
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
1970,79.63,,,,,,,,,,,,,,,,,,,,,,
1971,78.40,,,,,,,,,,,,,,,,,,,,,,
1972,79.52,,,,,,,,,,,,,,,,,,,,,,
1973,79.57,,,,,,,,,,,,,,,,,,,,,,
1974,78.88,,,,,,,,,,,,,,,,,,,,,,
1975,76.84,,,,,,,,,,,,,,,,,,,,,,
1976,80.27,,,,,,,,,,,,,,,,,,,,,,
1977,80.17,,,,,,,,,,,,,,,,,,,,,,
1978,80.19,,,,,,,,,,,,,,,,,,,,,,
1979,81.64,,,,,,,,,,,,,,,,,,,,,,
1980,82.20,,,,,,,,,,,,,,,,,,,,,,
1981,82.31,,,,,,,,,,,,,,,,,,,,,,
1982,81.02,,,,,,,,,,,,,,,,,,,,,,
1983,80.51,,,,,,,,,,,,,,,,,,,,,,
1984,80.98,,,,,,,,,,,,,,,,,,,,,,
1985,79.40,,,,,,,,,,,,,,,,,,,,,,
1986,79.19,,,,,,,,,,,,,,,,,,,,,,
1987,78.46,,,,,,,,,,,,,,,,,,,,,,
1988,80.04,,,,,,,,,,,,,,,,,,,,,,
1989,80.02,,,,,,,,,,,,,,,,,,,,,,
1990,81.27,,,,,,,,,,,,,,,,,,,,,,
1991,79.70,,,,,,,,,,,,,,,,,,,,,,
1992,80.63,,,,,,,,,,,,,,,,,,,,,,
1993,79.48,,,,,,,,,,,,,,,,,,,,,,
1994,77.87,,,,,,,,,,,,,,,,,,,,,,
1995,78.49,,,,,,,,,,,,,,,,,,,,,,
1996,79.91,,,,,,,,,,,,,,,,,,,,,,
1997,78.22,,,,,,,,,,,,,,,,,,,,,,
1998,76.83,,,,,,,,,,,,,,,,,,,,,,
1999,78.72,,,,,,,,,,,,,,,,,,,,,,
2000,78.05,,,,,,,,,,,,,,,,,,,,,,
2001,78.32,,,,,,,,,,,,,,,,,,,,,,
2002,76.83,,,,,,,,,,,,,,,,,,,,,,
2003,76.79,,,,,,,,,,,,,,,,,,,,,,
2004,78.83,,,,,,,,,,,,,,,,,,,,,,
2005,78.11,,,,,,,,,,,,,,,,,,,,,,
2006,79.89,,,,,,,,,,,,,,,,,,,,,,
2007,77.68,,,,,,,,,,,,,,,,,,,,,,
2008,77.92,,,,,,,,,,,,,,,,,,,,,,
2009,75.25,,,,,,,,,,,,,,,,,,,,,,
2010,76.70,,,,,,,,,,,,,,,,,,,,,,
2011,76.44,,,,,,,,,,,,,,,,,,,,,,
2012,77.20,,,,,,,,,,,,,,,,,,,,,,
2013,78.81,,,,,,,,,,,,,,,,,,,,,,
2014,78.78,,,,,,,,,,,,,,,,,,,,,,
2015,77.93,,,,,,,,,,,,,,,,,,,,,,
2016,78.38,,,,,,,,,,,,,,,,,,,,,,
2017,78.30,,,,,,,,,,,,,,,,,,,,,,
2018,77.13,,,,,,,,,,,,,,,,,,,,,,
2019,74.80,,,,,,,,,,,,,,,,,,,,,,
2020,77.35,,,,,,,,,,,,,,,,,,,,,,
