Variable:,hurs
,Honduras,Atlantida,Choluteca,Colon,Comayagua,Copan,Cortes,"Francisco Morazan","Gracias A Dios",Intibuca,"Islas De Bahia","La Paz",Lempira,"Name Unknown",Ocotepeque,Olancho,Paraiso,"Santa Barbara",Valle,Yoro
1970,79.41,,,,,,,,,,,,,,,,,,,
1971,78.19,,,,,,,,,,,,,,,,,,,
1972,77.59,,,,,,,,,,,,,,,,,,,
1973,77.29,,,,,,,,,,,,,,,,,,,
1974,77.92,,,,,,,,,,,,,,,,,,,
1975,76.94,,,,,,,,,,,,,,,,,,,
1976,80.09,,,,,,,,,,,,,,,,,,,
1977,78.21,,,,,,,,,,,,,,,,,,,
1978,78.90,,,,,,,,,,,,,,,,,,,
1979,80.39,,,,,,,,,,,,,,,,,,,
1980,79.97,,,,,,,,,,,,,,,,,,,
1981,80.36,,,,,,,,,,,,,,,,,,,
1982,79.38,,,,,,,,,,,,,,,,,,,
1983,77.87,,,,,,,,,,,,,,,,,,,
1984,79.13,,,,,,,,,,,,,,,,,,,
1985,78.36,,,,,,,,,,,,,,,,,,,
1986,79.66,,,,,,,,,,,,,,,,,,,
1987,77.55,,,,,,,,,,,,,,,,,,,
1988,79.60,,,,,,,,,,,,,,,,,,,
1989,78.62,,,,,,,,,,,,,,,,,,,
1990,79.53,,,,,,,,,,,,,,,,,,,
1991,77.28,,,,,,,,,,,,,,,,,,,
1992,77.88,,,,,,,,,,,,,,,,,,,
1993,79.72,,,,,,,,,,,,,,,,,,,
1994,76.15,,,,,,,,,,,,,,,,,,,
1995,77.87,,,,,,,,,,,,,,,,,,,
1996,79.52,,,,,,,,,,,,,,,,,,,
1997,77.64,,,,,,,,,,,,,,,,,,,
1998,76.62,,,,,,,,,,,,,,,,,,,
1999,78.82,,,,,,,,,,,,,,,,,,,
2000,77.64,,,,,,,,,,,,,,,,,,,
2001,77.27,,,,,,,,,,,,,,,,,,,
2002,77.54,,,,,,,,,,,,,,,,,,,
2003,78.22,,,,,,,,,,,,,,,,,,,
2004,78.34,,,,,,,,,,,,,,,,,,,
2005,78.75,,,,,,,,,,,,,,,,,,,
2006,78.45,,,,,,,,,,,,,,,,,,,
2007,77.88,,,,,,,,,,,,,,,,,,,
2008,78.25,,,,,,,,,,,,,,,,,,,
2009,77.39,,,,,,,,,,,,,,,,,,,
2010,79.55,,,,,,,,,,,,,,,,,,,
2011,78.69,,,,,,,,,,,,,,,,,,,
2012,79.01,,,,,,,,,,,,,,,,,,,
2013,79.59,,,,,,,,,,,,,,,,,,,
2014,78.53,,,,,,,,,,,,,,,,,,,
2015,78.49,,,,,,,,,,,,,,,,,,,
2016,78.82,,,,,,,,,,,,,,,,,,,
2017,80.07,,,,,,,,,,,,,,,,,,,
2018,78.70,,,,,,,,,,,,,,,,,,,
2019,75.69,,,,,,,,,,,,,,,,,,,
2020,78.56,,,,,,,,,,,,,,,,,,,
