Variable:,hurs
,Mexico,Aguascalientes,"Baja California","Baja California Sur",Campeche,Chiapas,Chihuahua,Coahuila,Colima,"Distrito Federal",Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,"Nuevo Leon",Oaxaca,Puebla,Queretaro,"Quintana Roo","San Luis Potosi",Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
1970,58.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,58.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,60.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,60.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,58.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,57.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,61.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,61.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,63.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,59.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,61.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,64.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,60.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,63.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,63.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,62.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,63.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,62.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,61.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,60.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,62.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,62.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,64.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,60.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,59.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,58.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,58.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,60.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,58.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,56.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,58.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,59.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,58.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,59.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,61.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,58.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,58.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,59.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,57.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,57.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,59.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,54.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,57.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,59.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,59.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,62.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,59.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,58.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,60.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,59.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,57.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
