Variable:,hurs
,Nicaragua,"Atlantico Norte","Atlantico Sur",Boaco,Carazo,Chinandega,Chontales,Esteli,Granada,Jinotega,Leon,Madriz,Managua,Masaya,Matagalpa,"Nueva Segovia","Rio San Juan",Rivas
1970,81.35,,,,,,,,,,,,,,,,,
1971,81.21,,,,,,,,,,,,,,,,,
1972,80.37,,,,,,,,,,,,,,,,,
1973,80.25,,,,,,,,,,,,,,,,,
1974,81.10,,,,,,,,,,,,,,,,,
1975,80.36,,,,,,,,,,,,,,,,,
1976,80.93,,,,,,,,,,,,,,,,,
1977,79.57,,,,,,,,,,,,,,,,,
1978,80.54,,,,,,,,,,,,,,,,,
1979,81.56,,,,,,,,,,,,,,,,,
1980,81.10,,,,,,,,,,,,,,,,,
1981,81.93,,,,,,,,,,,,,,,,,
1982,81.73,,,,,,,,,,,,,,,,,
1983,79.62,,,,,,,,,,,,,,,,,
1984,80.80,,,,,,,,,,,,,,,,,
1985,81.16,,,,,,,,,,,,,,,,,
1986,80.88,,,,,,,,,,,,,,,,,
1987,77.47,,,,,,,,,,,,,,,,,
1988,81.03,,,,,,,,,,,,,,,,,
1989,80.79,,,,,,,,,,,,,,,,,
1990,81.13,,,,,,,,,,,,,,,,,
1991,79.84,,,,,,,,,,,,,,,,,
1992,79.65,,,,,,,,,,,,,,,,,
1993,81.67,,,,,,,,,,,,,,,,,
1994,79.54,,,,,,,,,,,,,,,,,
1995,80.48,,,,,,,,,,,,,,,,,
1996,80.55,,,,,,,,,,,,,,,,,
1997,80.12,,,,,,,,,,,,,,,,,
1998,79.28,,,,,,,,,,,,,,,,,
1999,80.72,,,,,,,,,,,,,,,,,
2000,79.07,,,,,,,,,,,,,,,,,
2001,78.69,,,,,,,,,,,,,,,,,
2002,79.63,,,,,,,,,,,,,,,,,
2003,80.09,,,,,,,,,,,,,,,,,
2004,79.58,,,,,,,,,,,,,,,,,
2005,79.41,,,,,,,,,,,,,,,,,
2006,79.73,,,,,,,,,,,,,,,,,
2007,80.07,,,,,,,,,,,,,,,,,
2008,80.25,,,,,,,,,,,,,,,,,
2009,79.48,,,,,,,,,,,,,,,,,
2010,80.05,,,,,,,,,,,,,,,,,
2011,81.29,,,,,,,,,,,,,,,,,
2012,80.97,,,,,,,,,,,,,,,,,
2013,81.31,,,,,,,,,,,,,,,,,
2014,79.57,,,,,,,,,,,,,,,,,
2015,79.89,,,,,,,,,,,,,,,,,
2016,79.98,,,,,,,,,,,,,,,,,
2017,81.97,,,,,,,,,,,,,,,,,
2018,80.49,,,,,,,,,,,,,,,,,
2019,79.39,,,,,,,,,,,,,,,,,
2020,81.22,,,,,,,,,,,,,,,,,
