Variable:,hurs
,Panama,Coclé,Colón,"Kuna Yala",Herrera,"Los Santos",Panamá,"Bocas del Toro",Chiriquí,Darién,Emberá,"Ngöbe Buglé",Veraguas
1970,87.37,,,,,,,,,,,,
1971,86.62,,,,,,,,,,,,
1972,85.81,,,,,,,,,,,,
1973,85.67,,,,,,,,,,,,
1974,85.02,,,,,,,,,,,,
1975,85.41,,,,,,,,,,,,
1976,84.46,,,,,,,,,,,,
1977,83.92,,,,,,,,,,,,
1978,86.28,,,,,,,,,,,,
1979,85.81,,,,,,,,,,,,
1980,84.68,,,,,,,,,,,,
1981,86.14,,,,,,,,,,,,
1982,85.49,,,,,,,,,,,,
1983,85.45,,,,,,,,,,,,
1984,86.75,,,,,,,,,,,,
1985,85.03,,,,,,,,,,,,
1986,84.94,,,,,,,,,,,,
1987,85.39,,,,,,,,,,,,
1988,85.78,,,,,,,,,,,,
1989,85.25,,,,,,,,,,,,
1990,85.30,,,,,,,,,,,,
1991,85.38,,,,,,,,,,,,
1992,84.49,,,,,,,,,,,,
1993,85.78,,,,,,,,,,,,
1994,85.13,,,,,,,,,,,,
1995,85.43,,,,,,,,,,,,
1996,86.14,,,,,,,,,,,,
1997,83.93,,,,,,,,,,,,
1998,84.60,,,,,,,,,,,,
1999,86.57,,,,,,,,,,,,
2000,85.56,,,,,,,,,,,,
2001,85.01,,,,,,,,,,,,
2002,84.46,,,,,,,,,,,,
2003,85.00,,,,,,,,,,,,
2004,85.14,,,,,,,,,,,,
2005,85.67,,,,,,,,,,,,
2006,85.41,,,,,,,,,,,,
2007,85.42,,,,,,,,,,,,
2008,85.17,,,,,,,,,,,,
2009,84.89,,,,,,,,,,,,
2010,85.79,,,,,,,,,,,,
2011,85.61,,,,,,,,,,,,
2012,84.47,,,,,,,,,,,,
2013,85.07,,,,,,,,,,,,
2014,84.88,,,,,,,,,,,,
2015,84.43,,,,,,,,,,,,
2016,84.25,,,,,,,,,,,,
2017,85.41,,,,,,,,,,,,
2018,85.50,,,,,,,,,,,,
2019,84.53,,,,,,,,,,,,
2020,85.24,,,,,,,,,,,,
