Variable:,hurs
,Peru,Amazonas,Ancash,Apurímac,Arequipa,Ayacucho,Cajamarca,Callao,Cusco,Huancavelica,Huánuco,Ica,Junín,"La Libertad",Lambayeque,Lima,Loreto,"Madre de Dios",Moquegua,Pasco,Piura,Puno,"San Martín",Tacna,Tumbes,Ucayali
1970,80.22,,,,,,,,,,,,,,,,,,,,,,,,,
1971,81.30,,,,,,,,,,,,,,,,,,,,,,,,,
1972,79.35,,,,,,,,,,,,,,,,,,,,,,,,,
1973,82.19,,,,,,,,,,,,,,,,,,,,,,,,,
1974,80.47,,,,,,,,,,,,,,,,,,,,,,,,,
1975,82.06,,,,,,,,,,,,,,,,,,,,,,,,,
1976,80.80,,,,,,,,,,,,,,,,,,,,,,,,,
1977,81.41,,,,,,,,,,,,,,,,,,,,,,,,,
1978,80.91,,,,,,,,,,,,,,,,,,,,,,,,,
1979,79.28,,,,,,,,,,,,,,,,,,,,,,,,,
1980,79.98,,,,,,,,,,,,,,,,,,,,,,,,,
1981,80.91,,,,,,,,,,,,,,,,,,,,,,,,,
1982,81.31,,,,,,,,,,,,,,,,,,,,,,,,,
1983,79.98,,,,,,,,,,,,,,,,,,,,,,,,,
1984,82.69,,,,,,,,,,,,,,,,,,,,,,,,,
1985,82.15,,,,,,,,,,,,,,,,,,,,,,,,,
1986,81.76,,,,,,,,,,,,,,,,,,,,,,,,,
1987,80.75,,,,,,,,,,,,,,,,,,,,,,,,,
1988,80.68,,,,,,,,,,,,,,,,,,,,,,,,,
1989,81.13,,,,,,,,,,,,,,,,,,,,,,,,,
1990,81.29,,,,,,,,,,,,,,,,,,,,,,,,,
1991,80.21,,,,,,,,,,,,,,,,,,,,,,,,,
1992,79.52,,,,,,,,,,,,,,,,,,,,,,,,,
1993,81.59,,,,,,,,,,,,,,,,,,,,,,,,,
1994,81.16,,,,,,,,,,,,,,,,,,,,,,,,,
1995,78.86,,,,,,,,,,,,,,,,,,,,,,,,,
1996,80.28,,,,,,,,,,,,,,,,,,,,,,,,,
1997,79.30,,,,,,,,,,,,,,,,,,,,,,,,,
1998,78.73,,,,,,,,,,,,,,,,,,,,,,,,,
1999,80.39,,,,,,,,,,,,,,,,,,,,,,,,,
2000,80.67,,,,,,,,,,,,,,,,,,,,,,,,,
2001,80.74,,,,,,,,,,,,,,,,,,,,,,,,,
2002,80.78,,,,,,,,,,,,,,,,,,,,,,,,,
2003,79.10,,,,,,,,,,,,,,,,,,,,,,,,,
2004,79.46,,,,,,,,,,,,,,,,,,,,,,,,,
2005,77.55,,,,,,,,,,,,,,,,,,,,,,,,,
2006,78.79,,,,,,,,,,,,,,,,,,,,,,,,,
2007,78.98,,,,,,,,,,,,,,,,,,,,,,,,,
2008,78.79,,,,,,,,,,,,,,,,,,,,,,,,,
2009,79.59,,,,,,,,,,,,,,,,,,,,,,,,,
2010,77.88,,,,,,,,,,,,,,,,,,,,,,,,,
2011,79.58,,,,,,,,,,,,,,,,,,,,,,,,,
2012,79.61,,,,,,,,,,,,,,,,,,,,,,,,,
2013,79.85,,,,,,,,,,,,,,,,,,,,,,,,,
2014,79.78,,,,,,,,,,,,,,,,,,,,,,,,,
2015,79.77,,,,,,,,,,,,,,,,,,,,,,,,,
2016,78.07,,,,,,,,,,,,,,,,,,,,,,,,,
2017,79.51,,,,,,,,,,,,,,,,,,,,,,,,,
2018,79.62,,,,,,,,,,,,,,,,,,,,,,,,,
2019,79.11,,,,,,,,,,,,,,,,,,,,,,,,,
2020,77.47,,,,,,,,,,,,,,,,,,,,,,,,,
