Variable:,hurs
,Paraguay,"Alto Paraguay","Alto Parana",Amambay,Boqueron,Caaguazu,Caazapa,Canindeyu,Central,Concepcion,Cordillera,Guaira,Itapua,Misiones,Neembucu,Paraguari,"Presidente Hayes","San Pedro"
1970,66.95,,,,,,,,,,,,,,,,,
1971,70.75,,,,,,,,,,,,,,,,,
1972,68.36,,,,,,,,,,,,,,,,,
1973,69.26,,,,,,,,,,,,,,,,,
1974,70.83,,,,,,,,,,,,,,,,,
1975,69.44,,,,,,,,,,,,,,,,,
1976,67.86,,,,,,,,,,,,,,,,,
1977,70.20,,,,,,,,,,,,,,,,,
1978,63.07,,,,,,,,,,,,,,,,,
1979,69.43,,,,,,,,,,,,,,,,,
1980,71.83,,,,,,,,,,,,,,,,,
1981,70.67,,,,,,,,,,,,,,,,,
1982,74.90,,,,,,,,,,,,,,,,,
1983,75.05,,,,,,,,,,,,,,,,,
1984,72.78,,,,,,,,,,,,,,,,,
1985,71.69,,,,,,,,,,,,,,,,,
1986,71.56,,,,,,,,,,,,,,,,,
1987,70.67,,,,,,,,,,,,,,,,,
1988,68.17,,,,,,,,,,,,,,,,,
1989,72.05,,,,,,,,,,,,,,,,,
1990,71.11,,,,,,,,,,,,,,,,,
1991,68.69,,,,,,,,,,,,,,,,,
1992,74.17,,,,,,,,,,,,,,,,,
1993,67.75,,,,,,,,,,,,,,,,,
1994,67.41,,,,,,,,,,,,,,,,,
1995,67.70,,,,,,,,,,,,,,,,,
1996,70.57,,,,,,,,,,,,,,,,,
1997,69.89,,,,,,,,,,,,,,,,,
1998,72.98,,,,,,,,,,,,,,,,,
1999,67.14,,,,,,,,,,,,,,,,,
2000,69.20,,,,,,,,,,,,,,,,,
2001,69.22,,,,,,,,,,,,,,,,,
2002,66.97,,,,,,,,,,,,,,,,,
2003,65.99,,,,,,,,,,,,,,,,,
2004,67.07,,,,,,,,,,,,,,,,,
2005,67.84,,,,,,,,,,,,,,,,,
2006,67.42,,,,,,,,,,,,,,,,,
2007,67.28,,,,,,,,,,,,,,,,,
2008,67.64,,,,,,,,,,,,,,,,,
2009,66.90,,,,,,,,,,,,,,,,,
2010,66.09,,,,,,,,,,,,,,,,,
2011,68.53,,,,,,,,,,,,,,,,,
2012,66.95,,,,,,,,,,,,,,,,,
2013,66.38,,,,,,,,,,,,,,,,,
2014,69.77,,,,,,,,,,,,,,,,,
2015,71.28,,,,,,,,,,,,,,,,,
2016,68.75,,,,,,,,,,,,,,,,,
2017,68.54,,,,,,,,,,,,,,,,,
2018,70.66,,,,,,,,,,,,,,,,,
2019,68.08,,,,,,,,,,,,,,,,,
2020,60.52,,,,,,,,,,,,,,,,,
