Variable:,hurs
,"El Salvador",Ahuachapan,Cabanas,Chalatenango,Cuscatlan,"La Libertad","La Paz","La Union",Morazan,"San Miguel","San Salvador","San Vicente","Santa Ana",Sonsonate,Usulutan
1970,71.35,,,,,,,,,,,,,,
1971,71.35,,,,,,,,,,,,,,
1972,69.88,,,,,,,,,,,,,,
1973,72.02,,,,,,,,,,,,,,
1974,69.68,,,,,,,,,,,,,,
1975,71.43,,,,,,,,,,,,,,
1976,69.75,,,,,,,,,,,,,,
1977,69.79,,,,,,,,,,,,,,
1978,72.03,,,,,,,,,,,,,,
1979,72.52,,,,,,,,,,,,,,
1980,71.81,,,,,,,,,,,,,,
1981,73.01,,,,,,,,,,,,,,
1982,71.10,,,,,,,,,,,,,,
1983,71.83,,,,,,,,,,,,,,
1984,73.48,,,,,,,,,,,,,,
1985,71.54,,,,,,,,,,,,,,
1986,70.43,,,,,,,,,,,,,,
1987,68.00,,,,,,,,,,,,,,
1988,72.65,,,,,,,,,,,,,,
1989,70.90,,,,,,,,,,,,,,
1990,70.30,,,,,,,,,,,,,,
1991,70.26,,,,,,,,,,,,,,
1992,71.04,,,,,,,,,,,,,,
1993,72.03,,,,,,,,,,,,,,
1994,69.00,,,,,,,,,,,,,,
1995,73.88,,,,,,,,,,,,,,
1996,72.73,,,,,,,,,,,,,,
1997,69.36,,,,,,,,,,,,,,
1998,70.75,,,,,,,,,,,,,,
1999,71.44,,,,,,,,,,,,,,
2000,69.53,,,,,,,,,,,,,,
2001,68.50,,,,,,,,,,,,,,
2002,67.96,,,,,,,,,,,,,,
2003,71.42,,,,,,,,,,,,,,
2004,70.04,,,,,,,,,,,,,,
2005,72.56,,,,,,,,,,,,,,
2006,70.80,,,,,,,,,,,,,,
2007,69.72,,,,,,,,,,,,,,
2008,70.90,,,,,,,,,,,,,,
2009,68.21,,,,,,,,,,,,,,
2010,71.19,,,,,,,,,,,,,,
2011,71.38,,,,,,,,,,,,,,
2012,68.26,,,,,,,,,,,,,,
2013,71.14,,,,,,,,,,,,,,
2014,69.17,,,,,,,,,,,,,,
2015,67.48,,,,,,,,,,,,,,
2016,69.79,,,,,,,,,,,,,,
2017,70.14,,,,,,,,,,,,,,
2018,67.72,,,,,,,,,,,,,,
2019,68.29,,,,,,,,,,,,,,
2020,72.53,,,,,,,,,,,,,,
