Variable:,hurs
,Uruguay,Artigas,Canelones,"Cerro Largo",Colonia,Durazno,Flores,Florida,Lavalleja,Maldonado,Montevideo,Paysandu,"Rio Negro",Rivera,Rocha,Salto,"San Jose",Soriano,Tacuarembo,"Treinta Y Tres"
1970,72.64,,,,,,,,,,,,,,,,,,,
1971,72.72,,,,,,,,,,,,,,,,,,,
1972,73.81,,,,,,,,,,,,,,,,,,,
1973,74.95,,,,,,,,,,,,,,,,,,,
1974,73.58,,,,,,,,,,,,,,,,,,,
1975,72.50,,,,,,,,,,,,,,,,,,,
1976,75.20,,,,,,,,,,,,,,,,,,,
1977,77.98,,,,,,,,,,,,,,,,,,,
1978,76.11,,,,,,,,,,,,,,,,,,,
1979,71.57,,,,,,,,,,,,,,,,,,,
1980,73.85,,,,,,,,,,,,,,,,,,,
1981,74.65,,,,,,,,,,,,,,,,,,,
1982,74.39,,,,,,,,,,,,,,,,,,,
1983,75.53,,,,,,,,,,,,,,,,,,,
1984,76.30,,,,,,,,,,,,,,,,,,,
1985,75.85,,,,,,,,,,,,,,,,,,,
1986,76.00,,,,,,,,,,,,,,,,,,,
1987,75.16,,,,,,,,,,,,,,,,,,,
1988,72.18,,,,,,,,,,,,,,,,,,,
1989,70.61,,,,,,,,,,,,,,,,,,,
1990,76.15,,,,,,,,,,,,,,,,,,,
1991,75.58,,,,,,,,,,,,,,,,,,,
1992,75.76,,,,,,,,,,,,,,,,,,,
1993,76.73,,,,,,,,,,,,,,,,,,,
1994,74.86,,,,,,,,,,,,,,,,,,,
1995,72.76,,,,,,,,,,,,,,,,,,,
1996,73.59,,,,,,,,,,,,,,,,,,,
1997,73.70,,,,,,,,,,,,,,,,,,,
1998,77.65,,,,,,,,,,,,,,,,,,,
1999,72.51,,,,,,,,,,,,,,,,,,,
2000,73.30,,,,,,,,,,,,,,,,,,,
2001,78.31,,,,,,,,,,,,,,,,,,,
2002,77.52,,,,,,,,,,,,,,,,,,,
2003,74.97,,,,,,,,,,,,,,,,,,,
2004,72.46,,,,,,,,,,,,,,,,,,,
2005,72.52,,,,,,,,,,,,,,,,,,,
2006,71.55,,,,,,,,,,,,,,,,,,,
2007,74.10,,,,,,,,,,,,,,,,,,,
2008,71.16,,,,,,,,,,,,,,,,,,,
2009,72.88,,,,,,,,,,,,,,,,,,,
2010,73.86,,,,,,,,,,,,,,,,,,,
2011,72.41,,,,,,,,,,,,,,,,,,,
2012,73.72,,,,,,,,,,,,,,,,,,,
2013,73.08,,,,,,,,,,,,,,,,,,,
2014,76.66,,,,,,,,,,,,,,,,,,,
2015,73.71,,,,,,,,,,,,,,,,,,,
2016,75.76,,,,,,,,,,,,,,,,,,,
2017,75.40,,,,,,,,,,,,,,,,,,,
2018,74.36,,,,,,,,,,,,,,,,,,,
2019,75.85,,,,,,,,,,,,,,,,,,,
2020,71.31,,,,,,,,,,,,,,,,,,,
