Variable:,hurs
,Venezuela,Amazonas,Anzoategui,Apure,Aragua,Barinas,Bolivar,Carabobo,Cojedes,"Delta Amacuro","Dependencias Federales",Falcon,Guarico,Lara,Merida,Miranda,Monagas,"Nueva Esparta",Portuguesa,Sucre,Tachira,Trujillo,Yaracuy,Zulia,Vargas,"Distrito Capital"
1970,80.62,,,,,,,,,,,,,,,,,,,,,,,,,
1971,79.01,,,,,,,,,,,,,,,,,,,,,,,,,
1972,81.16,,,,,,,,,,,,,,,,,,,,,,,,,
1973,79.57,,,,,,,,,,,,,,,,,,,,,,,,,
1974,79.77,,,,,,,,,,,,,,,,,,,,,,,,,
1975,80.12,,,,,,,,,,,,,,,,,,,,,,,,,
1976,80.51,,,,,,,,,,,,,,,,,,,,,,,,,
1977,78.28,,,,,,,,,,,,,,,,,,,,,,,,,
1978,79.74,,,,,,,,,,,,,,,,,,,,,,,,,
1979,79.47,,,,,,,,,,,,,,,,,,,,,,,,,
1980,78.65,,,,,,,,,,,,,,,,,,,,,,,,,
1981,80.73,,,,,,,,,,,,,,,,,,,,,,,,,
1982,80.89,,,,,,,,,,,,,,,,,,,,,,,,,
1983,79.70,,,,,,,,,,,,,,,,,,,,,,,,,
1984,79.00,,,,,,,,,,,,,,,,,,,,,,,,,
1985,78.67,,,,,,,,,,,,,,,,,,,,,,,,,
1986,80.15,,,,,,,,,,,,,,,,,,,,,,,,,
1987,78.98,,,,,,,,,,,,,,,,,,,,,,,,,
1988,78.67,,,,,,,,,,,,,,,,,,,,,,,,,
1989,80.14,,,,,,,,,,,,,,,,,,,,,,,,,
1990,81.91,,,,,,,,,,,,,,,,,,,,,,,,,
1991,80.53,,,,,,,,,,,,,,,,,,,,,,,,,
1992,79.45,,,,,,,,,,,,,,,,,,,,,,,,,
1993,79.87,,,,,,,,,,,,,,,,,,,,,,,,,
1994,78.02,,,,,,,,,,,,,,,,,,,,,,,,,
1995,77.84,,,,,,,,,,,,,,,,,,,,,,,,,
1996,79.33,,,,,,,,,,,,,,,,,,,,,,,,,
1997,78.91,,,,,,,,,,,,,,,,,,,,,,,,,
1998,79.26,,,,,,,,,,,,,,,,,,,,,,,,,
1999,80.59,,,,,,,,,,,,,,,,,,,,,,,,,
2000,79.10,,,,,,,,,,,,,,,,,,,,,,,,,
2001,77.95,,,,,,,,,,,,,,,,,,,,,,,,,
2002,78.71,,,,,,,,,,,,,,,,,,,,,,,,,
2003,78.50,,,,,,,,,,,,,,,,,,,,,,,,,
2004,80.01,,,,,,,,,,,,,,,,,,,,,,,,,
2005,79.18,,,,,,,,,,,,,,,,,,,,,,,,,
2006,79.25,,,,,,,,,,,,,,,,,,,,,,,,,
2007,77.53,,,,,,,,,,,,,,,,,,,,,,,,,
2008,78.95,,,,,,,,,,,,,,,,,,,,,,,,,
2009,76.92,,,,,,,,,,,,,,,,,,,,,,,,,
2010,78.88,,,,,,,,,,,,,,,,,,,,,,,,,
2011,80.44,,,,,,,,,,,,,,,,,,,,,,,,,
2012,79.65,,,,,,,,,,,,,,,,,,,,,,,,,
2013,77.71,,,,,,,,,,,,,,,,,,,,,,,,,
2014,76.17,,,,,,,,,,,,,,,,,,,,,,,,,
2015,75.19,,,,,,,,,,,,,,,,,,,,,,,,,
2016,78.10,,,,,,,,,,,,,,,,,,,,,,,,,
2017,79.59,,,,,,,,,,,,,,,,,,,,,,,,,
2018,77.64,,,,,,,,,,,,,,,,,,,,,,,,,
2019,76.74,,,,,,,,,,,,,,,,,,,,,,,,,
2020,75.69,,,,,,,,,,,,,,,,,,,,,,,,,
