Variable:,pr
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1970,754.26,733.31,926.18,635.70,1270.23,336.61,807.64,1598.87,1147.54,1395.03,985.37,376.44,734.61,467.83,1806.66,516.81,283.39,1095.15,433.76,504.25,471.72,1167.72,1156.85,697.36,1846.51
1971,726.96,708.96,1173.76,753.31,1141.59,362.11,739.58,1298.07,1161.07,1277.40,1086.66,265.31,779.54,288.38,1819.87,468.12,261.13,1290.33,354.92,341.92,482.55,1091.32,1182.15,731.38,2135.78
1972,877.41,965.31,1063.96,644.52,1227.15,416.65,959.86,1924.74,1175.32,1310.63,1048.53,685.82,846.75,777.38,2358.88,825.32,501.53,1087.79,687.52,845.09,475.07,1160.15,951.88,637.63,1674.96
1973,909.22,889.97,1080.42,728.80,1454.53,385.29,1044.72,1971.60,1549.34,1501.12,1110.13,632.03,927.75,629.43,2296.86,642.54,440.27,1142.51,600.16,768.09,490.99,1467.04,1164.36,653.82,1962.69
1974,844.99,857.26,751.92,711.76,1132.79,360.92,1030.67,1534.52,1087.70,1245.16,1066.92,646.53,1001.56,783.90,2003.30,595.04,325.70,1122.86,668.08,964.97,466.20,1144.10,1188.23,681.72,2044.15
1975,843.47,904.35,962.10,779.19,1173.29,449.77,947.53,1512.45,1112.51,1255.26,1098.11,655.69,935.86,704.06,1885.89,786.69,397.73,1097.19,633.85,852.11,496.35,1048.66,981.89,748.84,1920.64
1976,823.59,986.49,1281.83,701.98,952.22,472.72,968.41,1325.98,1180.05,996.95,1036.30,606.77,850.05,602.79,1537.77,563.11,422.73,1027.76,550.96,787.15,590.01,1185.67,1101.30,775.39,1744.95
1977,829.08,831.53,1005.58,779.97,1093.26,518.29,898.00,1659.65,1361.39,1048.35,1103.10,452.48,908.37,598.08,1848.28,709.08,371.49,1100.64,562.76,615.33,564.34,1199.61,1096.39,664.43,1917.59
1978,753.53,870.19,1017.11,583.53,1008.07,385.58,1061.34,1147.31,1232.19,910.21,858.14,582.02,733.55,623.77,1218.62,713.30,401.32,808.66,524.15,714.11,427.62,1166.54,968.72,730.03,1482.10
1979,865.97,663.77,579.62,851.92,1171.92,459.37,1025.28,1453.52,878.83,1446.92,1175.24,560.26,1100.91,760.50,1987.38,727.23,367.39,1364.98,674.35,907.07,563.29,1026.28,1296.99,720.51,2460.41
1980,853.73,899.20,1039.76,609.32,1325.89,437.01,885.45,1678.71,1253.37,1494.17,858.71,470.63,815.61,630.74,2096.83,841.41,351.27,1055.55,606.72,686.58,645.49,1197.30,1193.74,812.48,1710.56
1981,845.37,804.75,1207.16,678.14,1293.39,376.04,1015.20,1388.34,1286.12,1296.06,1096.06,566.15,820.77,653.91,1653.51,773.43,428.41,1267.02,544.72,678.73,503.85,1223.63,1236.46,752.89,1960.49
