Variable:,pr
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
1970,1467.07,1872.15,1886.41,1270.87,2506.59,1974.81,750.11,604.18,1228.11,1443.03
1971,1448.87,1928.90,1836.53,1309.43,2185.12,1869.84,601.52,556.87,1292.24,1622.51
1972,1369.99,1697.65,1705.85,1124.76,2105.27,1762.88,624.62,569.20,1277.62,1272.36
1973,1515.09,2145.94,2086.79,1165.69,2319.74,2123.19,650.16,607.46,1229.79,1300.21
1974,1600.08,2040.88,2144.64,1124.67,2378.16,2088.55,798.09,674.20,1437.58,1253.50
1975,1427.63,1872.01,1968.77,1038.21,2073.62,2020.47,766.78,684.43,1151.41,1151.50
1976,1486.38,1711.17,1987.91,1137.51,2249.19,1907.86,684.07,623.03,1369.99,1179.18
1977,1672.82,2071.80,2246.40,1270.35,2501.12,2186.44,843.19,762.03,1474.42,1315.19
1978,1333.49,1861.54,1869.60,873.64,1978.15,1939.57,693.23,617.75,1050.27,948.54
1979,1479.62,1940.49,1833.58,1239.02,2304.64,1975.15,736.94,665.70,1301.25,1425.30
1980,1647.64,1958.84,2280.93,1148.22,2532.09,2030.24,480.50,439.42,1629.71,1252.49
1981,1777.96,2001.28,2292.80,1395.15,2823.79,2379.23,825.73,726.41,1630.99,1476.88
1982,1703.67,1897.73,2138.64,1396.33,2651.85,2260.43,785.29,657.67,1615.46,1440.18
1983,1514.78,1973.08,1998.87,1121.16,2328.78,2021.15,466.23,467.83,1422.58,1262.84
1984,1630.03,1945.13,1932.91,1601.12,2214.87,2104.92,1113.92,958.05,1421.81,1798.58
1985,1609.44,2188.08,2054.93,1388.49,2153.58,2066.87,1101.31,888.22,1349.72,1594.16
1986,1518.59,1910.57,1891.41,1366.37,2214.55,1975.84,908.31,759.04,1328.85,1458.75
1987,1529.04,1827.30,1941.90,1216.55,2352.96,2012.34,705.52,625.99,1415.40,1338.56
1988,1577.43,1783.98,2017.80,1313.83,2226.46,1984.58,903.14,803.65,1451.22,1370.70
1989,1631.38,2024.75,2130.43,1210.82,2270.08,2073.07,748.21,677.56,1547.42,1343.70
1990,1597.27,2036.41,2084.74,1176.21,2332.16,2036.46,754.66,662.39,1479.69,1367.37
1991,1618.09,1884.95,2073.64,1286.37,2477.84,1991.00,690.78,672.24,1539.67,1534.48
1992,1687.25,1974.53,2192.75,1357.49,2649.97,2107.73,596.62,599.73,1633.74,1398.25
1993,1493.00,2162.90,1996.00,1088.80,2283.55,2133.92,930.42,752.92,1154.67,1138.21
1994,1532.96,2009.88,2012.61,1114.34,2158.17,2058.70,746.72,645.22,1387.42,1194.91
1995,1499.39,1789.22,1936.55,1188.24,2504.00,1891.13,528.82,522.81,1429.55,1236.91
1996,1462.11,1825.76,1804.49,1338.82,2238.87,1845.84,679.51,598.06,1353.31,1478.95
1997,1517.11,1946.33,1952.97,1140.47,2317.03,1945.88,700.29,624.36,1403.31,1258.31
1998,1506.14,1883.20,1977.36,1145.02,2330.36,1946.11,491.51,443.31,1449.80,1286.74
1999,1374.83,1858.67,1792.74,1180.26,1990.09,1749.34,744.59,621.61,1203.25,1219.70
2000,1414.36,1827.81,1782.74,1183.97,2138.14,1771.95,676.44,558.29,1314.21,1358.86
2001,1476.41,1881.38,1907.10,1107.02,2092.78,1883.77,880.75,710.66,1341.14,1141.31
2002,1312.02,1840.00,1700.76,1023.76,1915.43,1904.56,685.58,552.40,1099.20,1034.84
2003,1360.48,1842.42,1695.09,1141.22,2043.99,1785.22,628.85,545.56,1231.81,1322.81
2004,1459.09,1996.28,2053.99,1046.68,2047.79,1923.93,698.32,593.69,1252.49,1157.00
2005,1459.08,1844.57,1895.23,1134.85,2031.56,1903.37,774.13,645.42,1320.21,1312.69
2006,1543.35,1857.18,1973.41,1193.76,2274.84,1987.28,757.59,634.80,1446.95,1361.80
2007,1528.28,1935.25,1982.16,1215.21,2358.02,2012.93,635.02,565.13,1411.35,1230.33
2008,1541.40,2189.51,2071.76,1253.72,2268.10,1920.89,659.72,618.32,1383.08,1180.71
2009,1552.76,2172.60,2129.94,1098.71,2223.69,1976.52,666.06,606.97,1389.38,1267.62
2010,1281.00,1749.04,1632.61,969.75,1974.12,1832.59,606.30,477.86,1128.29,951.66
2011,1493.01,2061.81,1992.75,1113.34,2079.52,2093.74,826.49,673.40,1247.10,1239.89
2012,1604.14,2154.35,2067.35,1177.85,2335.60,2134.54,881.05,714.44,1439.39,1165.93
2013,1507.61,2094.25,2094.92,1047.99,2152.99,2083.94,770.72,649.28,1274.87,941.77
2014,1643.99,2177.59,2183.57,1196.70,2793.72,2206.15,677.70,600.66,1456.54,1136.89
2015,1526.10,2004.71,1996.20,1218.14,2234.96,2003.92,720.96,595.49,1382.88,1264.59
2016,1416.27,1926.17,1813.47,1008.97,2062.15,1820.53,575.25,469.21,1376.80,1070.64
2017,1554.35,2112.32,1961.92,1192.93,2336.37,2124.79,696.45,565.83,1420.94,1288.95
2018,1629.75,2043.13,2157.72,1242.87,2518.14,2238.33,833.81,690.05,1411.50,1288.53
2019,1463.33,2126.98,1978.85,1215.17,2264.19,2176.93,768.48,623.08,1110.16,1216.25
2020,1241.06,1721.38,1609.35,946.56,1923.51,1845.55,743.84,621.62,967.21,976.99
