Variable:,pr
,Brazil,Acre,Alagoas,Amapa,Amazonas,Bahia,Ceara,"Distrito Federal","Espirito Santo",Goias,Maranhao,"Mato Grosso","Mato Grosso Do Sul","Minas Gerais",Para,Paraiba,Parana,Pernambuco,Piaui,"Rio De Janeiro","Rio Grande Do Norte","Rio Grande Do Sul",Rondonia,Roraima,"Santa Catarina","Sao Paulo",Sergipe,Tocantins,"Name Unknown","Name Unknown","Name Unknown","Name Unknown"
1970,1754.63,1945.95,680.03,2699.81,2705.79,721.71,620.01,1061.32,1182.34,1105.14,1445.03,1755.38,1143.98,926.10,2428.85,452.08,1499.59,501.96,853.20,1117.98,440.70,1573.49,1997.25,2461.77,1545.57,1147.99,633.02,1573.69,1573.69,597.10,597.10,597.10
1971,1917.74,2182.78,716.71,2299.94,2883.90,869.81,1189.14,1474.88,1420.62,1513.50,1895.27,1786.48,1295.24,1236.94,2522.90,744.52,1536.81,696.78,1347.98,1587.24,886.86,1432.39,1941.75,2357.62,1719.54,1161.93,659.62,1986.74,1986.74,621.50,621.50,621.50
1972,1815.27,1807.35,655.55,2004.29,2830.64,746.03,797.84,1262.39,1010.14,1382.88,1605.07,1663.96,1392.77,1180.64,2168.54,476.99,1685.49,555.08,1080.07,1610.59,465.43,2162.10,1905.85,2437.48,1843.46,1557.97,625.59,1708.65,1708.65,737.71,737.71,737.71
1973,1922.59,2198.51,798.37,2381.05,2788.27,775.05,1284.15,1554.81,1272.70,1471.20,1953.66,1631.76,1375.33,1330.76,2513.99,854.85,1838.83,786.64,1330.01,1804.22,957.01,1971.60,1975.70,2437.33,2008.07,1463.23,712.24,1726.95,1726.95,616.62,616.62,616.62
1974,1897.68,1725.14,1211.34,3175.70,2552.73,901.96,1721.70,1141.87,1111.25,1070.08,2227.94,1635.80,1420.78,945.32,2834.13,1283.38,1622.28,1120.75,1626.90,1392.68,1546.13,1607.46,2062.28,2079.92,1583.75,1233.94,1115.66,1662.89,1662.89,863.29,863.29,863.29
1975,1809.83,2047.50,826.63,2602.37,2798.49,719.46,1107.70,1132.51,1142.49,1241.85,1768.55,1467.74,1184.49,1134.12,2420.56,650.44,1568.23,598.56,1103.80,1637.47,704.51,1633.74,1715.04,2554.28,1850.16,1327.91,770.49,1751.66,1751.66,746.06,746.06,746.06
1976,1849.54,1719.16,610.66,2567.23,2759.00,616.22,918.39,1279.72,1131.19,1521.49,1563.79,1807.41,1655.86,1193.57,2319.59,535.29,1808.74,523.45,921.94,1673.64,629.50,1493.83,1889.92,2522.76,1759.05,1914.64,562.09,1818.73,1818.73,462.22,462.22,462.22
1977,1920.71,2109.47,796.18,2213.24,2781.71,891.36,1134.84,1521.06,1289.03,1525.30,2064.32,1872.18,1511.91,1150.15,2374.21,712.12,1581.34,732.68,1312.43,1449.50,720.55,1944.23,2103.40,2270.57,1814.46,1375.80,783.58,2065.79,2065.79,737.44,737.44,737.44
1978,1659.97,2038.82,789.70,1888.07,2505.89,994.10,1033.73,1202.03,1220.51,1303.86,1720.51,1388.54,1099.92,1237.96,2087.65,641.69,1108.99,719.34,1138.51,1197.68,641.67,1191.97,1650.92,2374.52,1195.55,1114.13,832.67,1638.51,1638.51,553.73,553.73,553.73
1979,1862.57,1903.21,597.30,2341.28,2488.29,1188.15,640.68,1810.85,1847.24,1759.68,1819.31,1687.88,1560.82,1760.98,2238.35,365.54,1658.27,561.93,1405.61,1970.52,328.76,1544.09,1705.30,2342.84,1743.63,1411.49,619.26,2092.51,2092.51,457.00,457.00,457.00
1980,1810.91,1881.46,748.62,2021.51,2439.55,1045.47,913.87,1662.67,1429.28,1587.71,1880.68,1795.84,1607.62,1358.68,2081.69,545.19,1894.13,690.14,1298.73,1568.68,554.46,1748.69,1879.17,2042.74,1884.49,1466.95,787.21,2094.76,2094.76,563.38,563.38,563.38
