Variable:,pr
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1970,1341.37,55.19,1603.12,62.70,3710.27,1072.24,199.00,670.44,2476.35,811.58,606.25,2819.72,136.63,394.42,2288.60,399.11
1971,1349.70,61.85,1445.66,50.06,3675.55,934.75,184.92,527.22,2636.97,644.68,470.90,3082.99,153.24,421.35,2179.12,306.21
1972,1365.71,88.77,2001.04,137.14,3094.53,1687.45,394.16,1112.03,2341.66,1456.68,985.33,2674.15,196.28,532.18,2534.34,634.72
1973,1302.40,90.21,1582.83,82.73,3120.14,1149.22,286.96,827.23,2568.29,994.10,731.17,2573.87,218.52,542.42,2185.85,452.77
1974,1337.10,85.23,1405.75,92.93,3297.09,1187.87,282.75,1182.20,2574.34,1245.91,1052.31,2489.64,193.42,555.24,1842.86,635.46
1975,1585.40,198.00,2106.63,165.94,3729.29,1661.71,337.00,883.98,2706.36,1214.44,716.35,3462.53,331.04,668.20,2951.05,438.55
1976,1281.75,166.27,1535.30,170.09,3017.19,1136.66,299.66,736.23,2488.98,918.88,629.22,2312.86,298.02,638.24,1991.95,389.63
1977,1442.85,132.71,2073.47,91.66,3303.40,1589.16,311.18,1045.73,2338.77,1306.76,954.38,3185.05,287.42,642.34,2775.16,650.25
1978,1198.82,64.23,1777.94,68.86,2536.18,1429.84,307.16,1209.17,2069.82,1339.14,1031.21,2525.35,190.18,458.60,2253.54,650.11
1979,1445.27,72.18,1970.51,63.23,3427.70,1573.72,217.59,995.48,2613.52,1335.76,765.51,3190.33,172.57,353.94,2713.56,417.46
1980,1652.19,59.82,2345.71,166.31,4096.56,1983.86,454.17,1206.54,2783.20,1576.19,1052.50,3254.33,116.60,357.21,2841.65,707.85
1981,1479.02,122.24,2029.77,103.02,3336.71,1677.25,256.02,933.80,2900.46,1319.11,717.29,2864.41,260.17,624.76,2548.31,429.11
1982,1506.24,72.85,2309.83,134.89,3113.86,2060.89,515.61,1797.97,2472.07,1966.07,1591.90,2874.74,227.69,582.52,2823.16,1043.83
1983,1398.03,114.18,1536.40,256.73,3345.84,1266.35,457.64,914.19,2855.25,1081.21,866.67,2390.26,151.94,405.27,2003.18,648.56
1984,1482.58,217.49,2148.46,235.55,3172.62,1850.91,641.24,1369.78,2364.04,1517.51,1239.84,2666.30,383.21,809.49,2408.61,929.88
1985,1456.95,139.74,1725.45,118.77,3562.00,1357.45,258.32,738.43,2816.73,973.33,604.18,2922.71,368.11,820.16,2277.36,355.05
1986,1600.73,152.84,2111.65,145.10,3665.02,1802.63,349.86,1262.72,2894.70,1530.37,1055.02,2957.03,339.62,811.82,2685.54,654.12
1987,1487.46,198.92,1733.02,343.63,3204.33,1463.83,700.80,1381.99,2732.68,1377.32,1301.54,2577.45,250.42,486.82,2274.15,1000.66
1988,1266.29,58.67,1467.11,79.04,3038.59,1270.28,198.07,624.57,2763.85,998.94,509.69,2193.79,227.60,587.02,1814.42,314.19
1989,1414.28,104.50,1474.59,176.39,3643.48,1105.71,360.70,746.96,2880.10,863.26,717.20,2606.81,230.51,570.36,1940.07,475.58
1990,1468.30,122.82,1671.96,93.25,3723.38,1163.97,216.22,645.64,3030.28,837.09,612.84,2795.41,238.25,561.10,2275.91,360.20
1991,1441.73,109.91,1916.46,145.52,3259.17,1606.15,460.47,1185.31,2663.84,1471.71,1033.78,2679.27,239.01,519.82,2256.35,679.80
1992,1401.59,127.41,1974.09,200.19,3248.23,1716.09,503.05,1216.64,2325.23,1500.31,996.59,2691.43,187.94,398.57,2267.50,705.34
1993,1480.26,122.99,2240.37,96.99,3375.36,1662.11,299.60,973.39,2769.70,1240.72,788.38,2814.50,306.14,670.15,2821.96,485.50
1994,1445.06,94.99,1917.90,74.91,3643.22,1482.79,212.14,836.29,2461.42,1099.95,692.64,3296.07,265.29,597.34,2501.41,374.05
1995,1337.05,62.64,1846.74,97.02,3165.53,1428.71,257.94,907.96,2575.31,1147.68,718.07,2677.56,131.37,361.44,2276.34,425.78
1996,1370.76,42.45,1251.59,71.59,3823.77,923.19,292.41,560.04,2965.25,711.87,480.34,2452.31,130.92,439.76,1707.03,364.44
1997,1552.65,126.34,2380.30,294.41,3264.10,1883.70,735.45,1543.22,2413.48,1780.51,1394.86,3026.04,234.51,546.38,2898.89,1084.59
1998,1248.83,49.71,939.54,108.07,3411.24,696.44,243.13,421.55,3072.83,489.90,437.09,1903.17,122.59,376.72,1342.78,297.51
1999,1254.46,109.75,1561.67,123.96,2816.14,1337.97,322.00,823.11,2520.58,1087.05,734.76,2280.19,236.48,560.47,1992.02,513.33
2000,1402.12,100.92,2045.26,124.50,3121.39,1711.13,402.27,1176.03,2436.14,1427.62,1028.34,2720.81,213.96,560.27,2587.93,682.91
2001,1495.08,176.86,1970.00,171.93,3267.04,1753.48,389.88,1086.26,2807.34,1402.94,933.75,2761.81,327.21,656.18,2424.10,618.81
2002,1549.32,120.16,2187.14,197.84,3662.76,1923.44,539.69,1294.08,2249.95,1671.96,1100.82,3395.74,199.21,514.64,2903.98,779.53
2003,1459.84,47.06,1711.06,62.29,3833.60,1235.85,234.12,699.33,2997.14,924.02,590.73,2811.79,149.05,387.92,2281.97,374.42
2004,1415.08,80.58,1833.72,120.80,3497.49,1408.03,349.75,882.98,2610.66,1134.28,752.72,2784.05,214.99,514.49,2405.74,528.96
2005,1433.85,123.14,2078.49,138.65,3131.70,1693.11,382.50,1340.66,2416.37,1577.13,1143.53,2935.64,230.99,555.70,2608.13,693.93
