Variable:,pr
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1970,3597.33,2870.82,4573.09,2739.80,2408.20,3818.66,2592.64,6665.44,6016.44,2728.53,2511.82,6665.44,3354.23,11853.73,3374.37,3128.06,2972.92,1999.04,2566.92,2857.02,3178.15,2709.04,5276.99,3222.55,3091.85,8615.63,10012.91,2387.87,4471.91,3332.46,3717.48,10332.91,2888.41,2877.26
1971,3856.90,3522.52,4949.92,2519.55,1802.96,3604.58,2766.11,7529.34,6046.71,3328.31,2530.23,7529.34,2796.99,12878.70,3274.21,3388.99,3081.30,1390.28,2966.23,3371.31,2686.50,3022.01,6161.23,2883.93,3847.47,8750.55,9329.45,1839.23,4397.71,2969.58,4095.78,10735.57,3328.32,2874.68
1972,3446.30,3136.87,3857.47,2988.95,1220.70,2970.34,2513.58,6427.78,4799.08,2940.86,2666.51,6427.78,2472.46,10573.51,2873.15,2724.76,3073.02,1307.29,2823.00,2730.76,2097.13,2935.84,6458.52,2691.38,3352.36,6602.95,8057.91,1709.88,3508.22,2616.31,3060.00,9358.46,3067.53,2981.51
1973,3826.64,3457.26,4626.23,2699.12,2410.33,3759.84,2590.99,6933.04,5957.34,3212.22,2678.62,6933.04,3088.72,11397.23,3061.33,3262.10,3324.33,1837.97,3120.46,2950.62,2880.89,3006.79,5868.34,2895.85,3431.93,8963.61,10055.28,2106.50,4275.83,3093.41,3868.16,10380.13,3408.17,2958.11
1974,3618.16,2833.48,4630.28,2773.25,1820.11,3527.89,2718.50,6666.24,5644.33,2974.80,2696.55,6666.24,2784.11,12722.75,3232.59,3262.09,2949.49,1639.65,2743.51,2908.81,2554.74,2993.75,5721.97,3038.72,3506.93,7963.80,9026.53,2139.05,4079.58,3012.07,3561.99,10182.15,2912.14,2884.27
1975,3772.87,3455.84,4564.11,2560.36,2219.09,3656.77,2777.63,7078.58,5718.54,3190.22,2624.28,7078.58,3027.27,13140.36,3114.73,3234.62,3239.17,1688.61,2994.65,3024.91,2821.25,3009.19,5822.14,3081.78,3620.44,8287.02,9173.84,2119.95,4252.63,3014.35,3727.66,10348.94,3312.15,2923.80
1976,3288.22,2972.95,3487.59,2701.22,1097.28,2721.83,2342.78,6113.06,4849.20,2996.44,2572.45,6113.06,2048.54,11881.56,2373.27,2649.72,3024.15,1024.34,2761.34,2647.02,1793.35,2828.33,5664.54,2264.68,3515.84,7068.06,8901.69,1716.13,3150.63,2228.35,2883.14,9333.15,2984.25,2836.61
1977,3357.17,2930.13,4148.47,2710.21,1549.75,3156.77,2323.25,5733.82,5047.23,2946.57,2682.76,5733.82,2596.46,10292.24,2737.38,2593.75,2936.19,1336.20,2770.29,2432.54,2274.92,2799.32,4726.00,2477.97,3184.26,7557.60,9184.24,1546.99,3756.65,2650.44,2872.17,9012.62,2914.30,2760.79
1978,3407.56,2909.02,4199.67,2993.77,2084.66,3464.07,2476.37,5387.04,5106.14,2797.81,2964.49,5387.04,3137.35,10382.54,2894.02,2749.31,2975.27,1524.14,2746.38,2381.78,2763.59,2957.87,4371.59,2789.27,2956.81,7317.35,8651.58,1944.47,4166.66,2869.45,3020.92,8751.75,2881.87,2998.64
1979,3471.51,2828.21,4185.03,2915.72,1841.52,3221.69,2754.33,6440.18,5180.84,2907.72,2685.27,6440.18,3049.54,11802.65,2890.87,2933.09,2898.24,1887.40,2744.50,2778.01,2621.40,2840.72,5211.76,3177.12,3310.36,7413.93,8390.31,1707.42,3949.64,2749.19,3349.83,9897.34,2880.34,2852.75
