Variable:,pr
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
1970,4476.13,3818.04,4841.50,2602.39,4684.32,5018.74,5120.83,6228.34
1971,3893.21,3117.57,3770.28,2492.17,3484.77,3758.83,4919.10,5875.25
1972,3322.05,2709.00,3843.44,1804.09,3425.37,4056.22,3700.08,4661.98
1973,4171.57,3146.37,4197.15,2415.96,3862.39,4297.03,5335.07,6304.67
1974,3816.12,3207.55,3885.89,2093.71,3714.27,3810.21,4740.57,5815.79
1975,4166.29,3102.38,4060.50,2503.08,3400.71,3562.17,5706.34,6877.86
1976,3299.73,2694.59,3298.29,1866.73,3170.47,3342.50,4133.82,4945.96
1977,2946.37,2430.54,2848.33,1627.44,2817.82,2749.74,3802.71,4634.55
1978,3532.51,2826.51,3440.68,2279.27,3106.06,3023.83,4571.36,5747.23
1979,3647.03,2925.14,3752.01,2336.82,3183.58,3331.82,4663.67,5629.79
1980,3287.24,2693.60,3388.58,2063.37,3116.53,3452.16,3849.88,5001.83
1981,3773.96,2983.87,3939.65,2145.91,3654.25,3932.12,4691.53,5611.06
1982,2936.38,2592.57,2880.07,1979.83,2965.53,3022.11,3400.85,4036.69
1983,2767.06,2239.38,2717.76,1614.87,2546.01,2688.13,3546.44,4184.66
1984,2991.53,2363.13,2841.90,1775.00,2789.37,2941.05,3867.32,4473.18
1985,2924.09,2410.29,2847.78,1660.53,2691.65,2784.51,3740.48,4564.69
1986,3034.38,2782.15,3134.40,1784.50,3221.91,3339.18,3343.82,4339.82
1987,3116.02,2522.81,3162.90,1722.90,3105.28,3315.12,3787.55,4717.11
1988,3505.87,2829.89,3493.08,2206.74,3106.42,3242.19,4428.04,5514.69
1989,2905.82,2306.31,2983.46,1579.54,2753.16,2976.48,3647.09,4497.40
1990,3155.04,2522.38,3246.81,1677.83,2953.93,3172.36,3966.97,5030.08
1991,2793.66,2183.26,2831.43,1585.03,2572.66,2975.72,3414.56,4374.72
1992,2707.71,2190.43,2509.14,1561.20,2444.64,2499.67,3494.97,4407.12
1993,3285.83,2597.61,3390.14,2043.64,3032.05,3208.20,4109.68,5007.45
1994,2699.07,2247.95,2662.33,1385.32,2561.37,2818.31,3374.33,4117.31
1995,3971.39,2937.34,4095.99,2692.60,3177.81,3416.50,5290.93,6283.14
1996,3741.75,3002.49,4056.95,2207.38,3574.15,3874.86,4507.61,5686.78
1997,2651.62,2228.77,2944.42,1509.82,2762.76,3192.01,2963.26,3568.33
1998,3418.85,2572.20,3502.60,1988.68,3039.67,3470.14,4457.06,5030.41
1999,3950.61,2951.16,4292.55,2235.84,3593.70,4128.31,5075.81,5770.88
2000,3420.46,2799.50,3209.58,1771.29,3326.82,3473.33,4377.82,5213.86
2001,3383.20,2678.79,3388.94,1626.21,3290.39,3564.14,4330.26,5244.94
2002,3185.73,2627.12,3337.38,1894.44,3135.02,3546.04,3714.42,4580.27
2003,3492.53,2880.71,3669.85,1847.18,3652.76,3778.60,4248.23,5048.15
2004,3688.63,3049.09,3679.83,1852.18,3938.13,4127.37,4451.69,5448.35
2005,3476.79,2780.18,3749.76,2131.12,3277.68,3683.99,4216.02,4967.25
2006,3119.63,2605.66,3040.24,1820.34,3052.65,3166.86,3859.92,4606.38
2007,3827.15,2871.67,3848.56,2311.97,3330.72,3703.29,4996.80,5907.53
2008,4013.79,3356.66,4390.75,2863.57,3815.53,4123.71,4657.93,5437.50
2009,3350.08,2814.70,3521.07,1836.16,3421.25,3928.38,3947.68,4445.02
2010,4925.23,3625.87,5514.98,3149.36,4320.59,5043.07,6170.18,7236.00
2011,3711.54,2926.34,3672.12,2384.18,3381.56,3566.18,4706.53,5518.22
2012,3090.18,2626.66,2976.81,1776.17,3108.91,3410.74,3714.03,4268.68
2013,3188.25,2655.38,3002.49,1888.74,2889.60,3056.61,4077.38,4791.44
2014,3256.23,2702.77,3268.31,1906.64,3236.64,3518.20,3879.31,4748.02
2015,2929.64,2428.62,3019.50,1436.96,2974.15,3497.10,3457.68,4212.88
2016,3443.73,2801.45,3456.80,1966.13,3234.42,3501.81,4308.22,5176.92
2017,3553.26,3018.30,3509.33,2368.86,3278.79,3515.29,4285.16,5088.52
2018,3096.96,2583.81,3032.38,1857.92,2899.21,3136.32,3845.40,4527.21
2019,2918.39,2519.12,2796.24,1859.12,2764.56,2822.56,3583.92,4269.13
2020,3657.84,2975.77,3691.57,2589.53,3165.07,3458.34,4511.13,5328.09
