Variable:,pr
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
1970,2783.04,2665.78,6330.54,3617.59,5602.23,3596.52,3912.58,2312.31,2777.27,363.53,4403.18,1662.15,4715.56,985.52,2718.28,3413.60,2983.08,2791.92,3107.58,2567.20,2275.51,3025.64,2162.22,3166.60,657.58,2969.62
1971,3294.63,3406.22,5891.62,4149.25,6080.87,3972.90,4138.89,3060.72,3516.38,465.15,4921.09,2471.00,4577.33,1460.56,3303.36,3853.03,3595.97,3329.78,3772.12,3089.26,2984.76,3409.25,2444.34,3605.91,893.10,3323.46
1972,3306.13,3010.75,7627.19,4159.81,6374.07,4019.61,4638.49,2869.90,4496.91,638.90,4602.03,1947.65,6317.56,2048.51,2971.22,3446.81,3151.62,2943.17,3293.78,2731.85,2392.18,4596.53,3142.67,3459.43,1096.93,4389.77
1973,3266.35,3111.01,7524.27,4163.91,5690.68,4083.32,4576.48,3248.67,3550.97,566.40,4531.12,2277.73,5932.33,1646.62,2993.13,3570.14,3432.79,3178.23,3417.17,2856.16,2439.63,3954.27,2964.36,3402.10,1004.48,3714.21
1974,2994.79,2873.14,6092.39,3755.84,5702.90,3732.24,4141.18,2396.43,3171.65,598.17,4621.57,1993.89,4664.05,1114.68,2902.13,3850.04,3258.54,2952.82,3496.50,2966.12,2445.66,3152.81,2141.57,3456.39,656.81,3357.30
1975,3240.52,3108.10,6743.66,3942.23,5639.83,3888.17,4342.02,3155.69,3176.87,1219.23,4550.42,2205.28,5367.61,1554.93,3087.61,3707.64,3551.49,3309.40,3620.82,2870.94,2482.66,3658.36,2766.67,3347.57,996.33,3436.64
1976,3345.31,3177.99,7922.55,4218.25,5812.26,3981.26,4813.52,3369.21,3773.65,728.74,4365.57,2378.75,6555.40,2038.25,2929.10,3591.57,3249.46,2995.07,3468.80,2824.22,2506.18,4514.87,3404.48,3292.54,1309.86,4201.71
1977,2770.69,2558.43,6070.23,3481.24,5097.16,3456.53,3858.68,2504.14,2898.78,827.29,3997.19,1871.83,4627.65,1054.87,2698.11,3065.30,3115.66,2876.59,3068.20,2405.88,2168.64,3067.09,2137.18,2956.73,578.00,3141.21
1978,2432.95,1989.15,5329.83,2931.62,4689.43,3028.14,3291.65,1777.79,2404.89,747.40,3574.22,1253.31,4057.42,924.94,2367.15,2753.52,2924.19,2694.76,2934.90,2172.23,1684.91,2670.71,1870.83,2543.78,561.89,2625.74
1979,2683.04,2357.92,6088.29,3347.75,5424.37,3430.90,3810.59,2037.86,2784.66,403.12,4114.50,1485.56,4530.32,924.70,2648.02,3176.05,3063.60,2790.29,3223.23,2518.95,2090.89,2954.58,1815.70,2945.11,378.34,2995.20
1980,2797.42,2596.46,6790.90,3645.01,6086.85,3634.87,4182.63,2293.11,3367.24,394.65,4526.38,1612.61,5314.63,1200.50,2524.21,2951.05,2869.63,2624.10,2898.00,2449.86,2270.48,3537.91,2266.72,3114.84,557.90,3533.60
1981,2802.66,2709.10,5420.42,3359.06,5690.22,3356.03,3873.73,2369.10,2981.66,296.34,4628.97,1864.77,4110.75,998.74,2843.21,3180.50,3204.09,2893.48,3341.46,2676.05,2343.02,2852.02,1727.71,3326.67,421.43,3193.76
1982,3460.46,3106.45,8215.16,4123.93,6761.97,4143.21,5163.82,2946.76,4642.11,964.61,5070.47,2416.60,6616.12,1844.02,3054.87,3708.37,3333.50,3107.15,3435.80,3046.22,2687.80,4405.17,2770.89,3905.10,764.40,4875.58
1983,4154.03,4897.32,12776.37,6287.71,6784.13,5393.20,6157.27,6557.46,5258.42,2420.89,4925.34,3261.34,10400.33,3537.86,2634.62,3025.28,2971.38,2701.40,2907.39,2907.41,2406.17,6713.02,6950.16,3662.87,3054.42,5576.68
1984,3071.81,3001.39,6352.30,3771.58,5961.75,3577.63,4145.43,3064.17,3653.29,322.40,4683.40,2215.49,4998.67,1429.35,2860.27,3245.09,3294.51,3045.90,3310.66,2625.23,2444.10,3505.69,2448.34,3408.88,843.23,3567.88
1985,2588.81,2321.98,5254.82,3215.30,4992.38,3181.52,3401.15,1961.11,2496.86,158.66,3871.67,1542.83,3966.71,901.08,2754.98,3320.92,3022.03,2751.45,3119.25,2454.55,2159.34,2700.68,1732.42,2772.66,457.73,2613.12
1986,3202.32,2752.88,6148.95,3711.99,5896.81,3653.75,4139.07,2574.56,3668.67,506.01,4550.25,2131.19,4900.30,1403.08,3262.14,3806.56,3573.48,3377.15,3710.02,2785.62,2654.10,3522.13,2289.60,3378.88,734.79,3549.64
1987,3400.22,3259.37,8075.81,4496.28,6183.45,4082.12,4560.61,3347.43,3978.25,1080.68,4561.18,2250.93,6483.30,1897.27,3108.24,3456.47,3355.38,3181.73,3313.48,2664.89,2617.24,4320.59,3708.59,3215.73,1477.19,3775.14
1988,2900.10,2733.67,5999.01,3562.45,5864.93,3561.88,3981.36,2579.41,3100.50,168.61,4637.66,1925.00,4670.92,1192.95,2825.87,3443.07,3136.82,2880.82,3352.53,2809.57,2416.48,3248.73,2119.61,3201.29,591.29,3110.83
1989,2998.67,2852.12,6020.94,3709.62,5831.70,3545.81,3839.15,2820.51,3107.77,226.24,4396.72,2118.81,4742.60,1381.43,2931.73,3529.71,3283.99,3021.78,3435.74,2668.77,2431.92,3292.56,2524.66,3030.49,983.52,3023.93
1990,2872.63,2418.31,6143.30,3406.30,5100.70,3425.20,3710.90,2090.63,2815.19,353.93,3838.63,1634.10,4710.25,1047.26,2982.22,3283.91,3470.51,3305.38,3456.67,2382.42,2421.31,3098.96,2042.16,2838.09,513.06,2989.53
1991,3038.46,2747.18,6263.30,3630.07,6012.88,3599.81,4067.51,2701.30,3569.85,432.89,4434.33,2046.96,4894.73,1249.48,2937.68,3651.77,3319.66,3124.47,3392.05,2650.05,2650.94,3443.75,2090.85,3208.70,497.65,3468.79
1992,3358.97,3244.32,8060.21,4212.00,5648.93,3904.00,4395.42,4002.79,3900.07,968.50,4253.09,2503.57,6490.65,2065.30,2813.05,3237.33,3348.42,3119.99,3384.39,2439.56,2427.25,4282.36,3772.90,3198.29,1568.25,3921.98
