Variable:,pr
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
1970,1874.78,1390.61,1363.12,1533.67,1622.02,2198.46,1762.22,2218.13,1901.25,2992.99,2419.74,2522.90,2447.96,1864.63,2223.00,2050.16,2363.32,1434.70,2522.90,1868.02,1696.35,1211.90,1318.05
1971,1768.74,1375.10,1271.28,1533.55,1563.41,2293.79,1938.03,2089.90,1674.76,2835.46,2378.89,2430.12,2240.29,1425.49,1816.54,1824.35,2136.22,1425.12,2464.87,1754.91,1573.89,1148.52,1400.76
1972,1781.64,1074.57,1063.13,1260.90,1315.11,1854.67,1398.73,1896.19,1633.32,2616.04,1974.22,1993.64,2095.05,1600.85,2102.57,1825.09,2370.95,1575.07,2605.99,1727.20,1331.50,865.58,936.99
1973,1961.50,1511.16,1422.32,1669.49,1743.55,2299.57,1959.32,2360.23,2035.69,2913.28,2448.70,2457.87,2467.90,2127.00,2442.53,2159.92,2489.22,1545.88,2312.37,1799.50,1668.16,1249.65,1425.69
1974,1841.91,1269.38,1320.01,1392.76,1491.04,1960.92,1457.46,2083.79,1773.57,2783.71,2180.94,2262.78,2292.74,1816.37,2182.77,2044.69,2438.95,1493.03,2599.95,1844.77,1550.60,1108.54,1060.52
1975,1698.72,1322.49,1302.52,1446.83,1541.42,2135.21,1700.95,2205.32,1841.40,3052.05,2358.73,2416.30,2478.18,1708.71,1908.15,1927.37,2091.69,1200.35,2306.86,1741.76,1552.72,1136.99,1214.03
1976,1828.74,1244.17,1253.72,1377.61,1506.36,1853.15,1502.25,2191.08,1845.55,2801.75,2071.43,2117.32,2250.45,1684.14,2060.48,1893.87,2418.10,1560.67,2565.60,1783.65,1540.69,1076.14,1099.93
1977,1547.35,1059.01,1060.39,1185.49,1277.57,1691.73,1349.64,1901.86,1584.19,2454.23,1857.01,1905.91,1997.46,1424.52,1757.71,1630.16,2009.45,1269.91,2139.56,1549.91,1351.41,936.33,971.14
1978,1877.04,1328.31,1284.15,1481.39,1563.55,2132.98,1731.29,2202.97,1883.16,2806.60,2338.12,2386.61,2328.48,1852.32,2226.19,1992.24,2383.71,1535.99,2511.81,1769.97,1537.65,1108.28,1216.61
1979,2182.08,1574.90,1539.68,1749.99,1886.63,2386.63,1915.85,2672.69,2276.86,3159.06,2603.45,2603.65,2609.92,2146.96,2601.75,2282.99,2812.31,1822.09,2895.74,2051.26,1712.85,1327.40,1405.56
1980,1894.49,1341.70,1376.44,1452.15,1534.85,1885.36,1632.66,2107.72,1852.13,2761.82,2046.55,2066.23,2335.92,1966.82,2295.02,2130.70,2577.21,1510.79,2659.98,1895.62,1611.72,1146.70,1171.90
1981,2088.95,1537.32,1483.50,1707.10,1813.93,2260.85,1937.95,2483.78,2241.72,3075.54,2467.80,2518.62,2603.23,2330.03,2572.72,2239.50,2569.99,1703.91,2599.36,1975.18,1782.42,1313.16,1407.45
1982,1886.56,1346.45,1282.98,1531.47,1596.15,2131.55,1717.50,2183.50,1930.23,2731.16,2206.03,2129.50,2245.22,1866.55,2259.12,1912.17,2324.85,1590.37,2545.97,1807.47,1498.90,1169.30,1293.26
1983,1878.78,1278.39,1347.57,1370.45,1502.35,1823.04,1541.58,2197.32,1863.54,2675.64,2027.84,1989.70,2169.83,1989.67,2311.33,2006.16,2457.97,1575.40,2545.12,1891.09,1681.42,1174.14,1105.07
1984,2052.88,1479.67,1528.60,1595.09,1705.33,2061.15,1761.55,2332.54,2154.64,2778.76,2250.18,2245.54,2397.91,2356.29,2633.76,2265.69,2655.56,1646.43,2662.63,2132.24,1860.80,1336.42,1317.34
1985,1694.49,1247.39,1275.14,1354.12,1411.33,1902.41,1620.11,1928.48,1654.14,2550.69,2022.94,2047.27,2115.03,1667.07,1961.65,1866.66,2136.96,1337.79,2312.35,1818.17,1653.53,1155.29,1154.79
1986,1598.98,999.89,1061.16,1126.77,1222.63,1486.31,1178.37,1805.37,1633.11,2291.05,1622.73,1580.50,1893.04,1644.87,1975.65,1742.29,2135.05,1333.12,2389.78,1674.26,1377.60,904.09,843.04
1987,1657.87,1093.18,1087.68,1240.29,1346.24,1609.64,1360.34,2015.14,1713.09,2601.23,1755.65,1739.57,2074.38,1664.60,1987.78,1778.28,2229.17,1388.00,2290.23,1626.26,1376.51,904.69,912.48
1988,2022.25,1472.70,1484.73,1615.04,1746.10,2187.37,1796.66,2489.08,2091.83,2950.31,2396.19,2410.54,2419.41,2035.20,2508.69,2224.63,2725.89,1586.25,2666.74,2010.05,1803.28,1303.52,1344.89
1989,1890.08,1500.72,1468.12,1631.37,1724.08,1933.73,1821.42,2277.21,2022.50,2813.57,2089.18,2105.49,2427.91,2010.99,2305.47,2079.75,2382.93,1499.30,2330.42,1928.06,1813.23,1359.00,1417.50
1990,1886.96,1320.53,1349.47,1454.84,1543.87,1906.11,1576.46,2162.29,1845.39,2849.65,2060.76,2035.43,2271.34,1698.75,2163.60,2074.34,2516.87,1588.36,2719.47,1940.80,1590.33,1137.61,1093.81
1991,1618.88,1101.14,1081.01,1250.29,1347.24,1726.73,1412.99,2018.69,1705.61,2573.28,1874.60,1868.84,2075.23,1563.84,1903.31,1725.52,2076.84,1292.67,2380.24,1685.76,1364.05,908.35,991.06
1992,1837.25,1311.64,1233.37,1511.68,1602.12,2014.63,1639.92,2295.83,1990.70,2854.77,2129.31,2059.72,2321.99,1885.55,2220.68,1917.75,2298.22,1500.58,2465.08,1821.60,1566.03,1073.30,1126.00
1993,1879.74,1431.77,1379.68,1591.16,1678.13,2078.52,1729.79,2290.03,1988.52,2717.17,2207.85,2157.63,2229.54,1911.66,2268.05,2042.74,2356.36,1529.25,2483.55,1840.15,1603.92,1204.17,1280.40
1994,1440.31,1087.94,1055.02,1213.79,1321.28,1649.33,1330.35,1994.38,1616.48,2425.43,1813.25,1772.90,1951.97,1340.04,1637.87,1577.81,1778.88,1124.89,1964.84,1483.23,1297.62,936.45,949.20
1995,2166.09,1913.46,1709.19,2123.74,2261.29,2835.38,2423.38,3156.45,2634.71,3824.35,3035.41,3071.96,3186.26,2397.23,2579.23,2336.93,2473.82,1593.68,2249.45,1962.26,1891.55,1573.21,1803.78
1996,1984.57,1510.67,1465.69,1678.74,1778.77,2186.83,1902.91,2415.77,2099.43,2976.84,2355.55,2367.97,2496.71,2073.74,2426.09,2245.60,2587.06,1527.24,2603.82,1957.75,1696.68,1262.27,1400.30
1997,1874.58,1477.80,1342.23,1719.50,1774.11,2243.15,1782.90,2388.89,2059.19,2857.46,2312.90,2270.16,2368.97,2016.52,2283.77,2005.75,2305.09,1474.24,2384.06,1790.51,1506.17,1162.01,1247.94
1998,2090.81,1746.88,1675.34,1874.45,1943.60,2485.33,2143.17,2577.30,2226.62,3112.04,2598.64,2604.50,2718.49,2338.16,2554.97,2289.56,2572.97,1548.02,2671.96,2053.93,1830.85,1475.15,1573.28
1999,2030.00,1619.76,1529.68,1789.25,1843.32,2485.66,2096.94,2468.85,2095.68,3073.67,2610.05,2663.48,2577.93,2000.73,2323.46,2193.71,2495.40,1612.52,2520.64,1933.41,1787.26,1384.78,1551.06
2000,1760.80,1342.18,1333.14,1476.68,1556.31,1941.27,1581.25,2093.10,1850.58,2604.50,2103.10,2126.37,2244.88,1851.73,2102.78,1965.44,2184.28,1359.89,2430.16,1888.91,1681.89,1174.75,1141.63
2001,1676.49,1136.35,1136.06,1278.45,1387.02,1683.00,1380.58,2014.12,1789.00,2433.34,1864.01,1882.23,2027.95,1774.74,2078.90,1801.70,2127.33,1381.99,2356.45,1693.12,1383.79,963.16,979.73
2002,1622.16,1104.92,1086.82,1259.69,1309.55,1912.27,1489.78,1852.86,1623.36,2561.79,2022.27,2104.35,2194.05,1686.14,1899.16,1807.18,2106.83,1256.59,2227.72,1577.67,1298.81,895.94,1028.29
2003,1716.37,1260.41,1194.46,1414.89,1536.53,1984.51,1611.17,2275.10,1853.41,2944.58,2171.96,2235.33,2366.93,1724.11,1988.59,1849.08,2153.63,1329.30,2298.60,1639.33,1451.42,1011.37,1105.60
2004,1672.37,1173.41,1151.01,1329.20,1399.75,1850.82,1490.54,2002.87,1704.63,2670.09,1940.67,1928.44,2147.60,1585.07,1935.39,1806.73,2136.14,1326.95,2469.46,1720.42,1464.75,974.46,1035.72
2005,2026.91,1764.42,1677.24,1928.63,1986.86,2670.30,2271.34,2653.84,2283.07,3278.24,2756.84,2775.46,2811.59,2095.94,2365.07,2232.83,2404.98,1444.03,2470.23,2031.88,1907.94,1567.07,1703.93
2006,2076.90,1596.98,1577.78,1729.02,1794.50,2228.33,1933.00,2385.29,2080.34,2982.75,2318.06,2296.45,2515.54,2047.09,2430.40,2305.98,2655.22,1711.09,2778.91,2048.81,1822.96,1361.78,1368.31
2007,1808.31,1419.77,1284.39,1630.81,1704.64,2325.82,1923.29,2389.72,1995.29,2985.95,2413.82,2457.53,2522.66,1846.39,2044.92,1896.57,2192.94,1396.86,2174.87,1696.03,1517.49,1151.54,1376.85
2008,2060.11,1605.95,1593.39,1728.50,1832.64,2171.11,1976.13,2462.08,2196.75,2901.65,2340.75,2407.06,2537.27,2363.16,2585.53,2293.48,2567.04,1605.41,2566.28,2029.08,1892.87,1442.28,1581.25
2009,1544.58,1215.10,1186.69,1348.52,1457.70,1683.58,1427.44,2041.64,1729.07,2484.30,1855.61,1848.61,2032.46,1547.62,1833.34,1828.04,1972.51,1151.36,2125.26,1589.97,1431.82,1027.30,1057.42
2010,2174.18,1881.61,1738.76,2093.80,2169.79,2714.57,2390.22,2801.17,2537.68,3168.98,2785.59,2842.33,2840.12,2682.14,2827.97,2436.25,2637.50,1558.18,2425.76,2033.14,1765.48,1532.68,1772.40
2011,2075.56,1624.71,1562.20,1792.27,1918.60,2318.55,2126.63,2756.63,2342.47,3286.42,2479.50,2567.11,2706.43,2249.96,2526.80,2259.56,2621.06,1593.25,2520.18,1979.80,1752.68,1393.36,1588.59
2012,1742.65,1209.51,1235.09,1347.17,1470.29,1664.73,1399.55,2122.53,1889.20,2546.29,1843.45,1857.16,2182.49,1947.52,2191.95,1930.53,2255.80,1417.35,2358.30,1749.39,1452.12,1044.65,1021.74
2013,2112.06,1434.73,1446.98,1594.56,1729.61,2062.35,1635.08,2428.78,2224.06,2911.61,2282.88,2279.43,2432.86,2486.67,2786.89,2305.26,2670.13,1786.76,2719.18,1982.96,1667.00,1209.40,1177.80
2014,1934.41,1371.33,1384.33,1541.41,1679.66,1873.32,1531.50,2413.75,2140.45,2892.73,2068.13,2068.37,2407.79,2239.15,2418.32,2113.32,2565.04,1522.29,2658.09,1941.19,1612.37,1164.45,1119.98
2015,1741.36,1225.48,1212.57,1405.91,1516.32,1749.55,1516.01,2222.59,1910.32,2629.74,1856.31,1855.42,2170.30,1784.35,2211.95,1977.95,2381.99,1328.63,2501.33,1806.58,1432.65,1000.87,1082.50
2016,1667.00,1127.49,1087.36,1317.51,1428.67,1920.38,1377.26,2160.93,1752.48,2583.03,2048.51,1936.19,2049.34,1594.26,1966.09,1779.12,2136.79,1382.90,2292.82,1614.68,1373.59,924.59,914.56
2017,1947.39,1465.12,1458.01,1618.36,1701.66,2083.40,1750.78,2301.11,2075.80,2733.12,2197.40,2192.79,2412.38,2219.22,2351.66,2167.45,2486.64,1523.24,2629.66,1961.37,1676.13,1250.93,1277.58
2018,1630.80,1257.69,1170.01,1432.35,1506.17,1965.66,1697.14,2180.57,1843.07,2707.41,2067.45,2072.45,2211.49,1565.90,1907.31,1766.94,1988.95,1214.99,2212.94,1668.71,1467.38,1071.02,1282.69
2019,1540.86,1263.39,1198.81,1401.94,1500.76,1895.50,1642.97,2164.49,1790.00,2615.41,2031.73,2075.11,2127.12,1610.62,1820.19,1782.48,1891.65,1097.67,1903.38,1584.79,1455.49,1064.32,1210.81
2020,2196.92,1749.37,1699.09,1934.35,2040.65,2454.49,2083.88,2787.61,2353.94,3382.33,2591.49,2567.36,2854.90,2298.24,2639.56,2419.54,2913.75,1698.45,2679.39,2149.28,1914.58,1499.71,1582.06
