Variable:,pr
,Honduras,Atlantida,Choluteca,Colon,Comayagua,Copan,Cortes,"Francisco Morazan","Gracias A Dios",Intibuca,"Islas De Bahia","La Paz",Lempira,"Name Unknown",Ocotepeque,Olancho,Paraiso,"Santa Barbara",Valle,Yoro
1970,1729.05,2430.54,1877.29,1741.38,1662.92,2197.75,2361.09,1416.11,2053.17,1697.38,1478.98,1663.73,1692.53,1692.53,1639.57,1329.21,1262.80,2120.03,1757.60,1906.10
1971,1620.48,2351.31,1736.30,1607.03,1429.88,1986.74,2259.11,1286.51,1869.63,1448.52,1483.23,1440.52,1510.56,1510.56,1551.86,1382.44,1228.48,1881.73,1634.73,1759.82
1972,1432.53,2011.50,1122.80,1397.99,1323.16,1938.34,2263.19,1017.65,1787.13,1344.50,1333.74,1207.38,1402.81,1402.81,1336.39,1168.53,891.06,1948.34,1200.33,1593.82
1973,1546.72,2161.60,1933.91,1333.92,1673.59,2065.64,2220.40,1388.83,1614.10,1823.89,1154.78,1851.37,1776.81,1776.81,1736.07,1093.89,1069.96,1950.63,2002.25,1760.20
1974,1610.67,2552.72,1436.59,1818.94,1499.90,2103.11,2376.22,1207.15,1889.05,1468.99,1873.69,1376.31,1521.93,1521.93,1459.22,1273.91,1013.26,2037.58,1328.50,1844.46
1975,1701.67,2494.08,1843.90,1630.27,1731.78,2041.32,2357.92,1508.78,1902.38,1762.75,1872.02,1753.92,1696.69,1696.69,1578.31,1302.40,1312.35,2088.27,1785.99,1899.32
1976,1738.64,3171.09,1334.88,1919.07,1605.87,2101.16,2729.91,1258.96,1978.59,1598.34,2004.10,1401.61,1619.34,1619.34,1510.48,1380.49,1097.45,2108.86,1218.69,2250.72
1977,1437.53,1977.19,1314.02,1548.32,1366.09,1777.90,1946.40,1146.49,1747.67,1364.96,1376.35,1283.32,1345.65,1345.65,1277.38,1163.78,984.76,1754.73,1280.74,1622.54
1978,1708.30,2663.35,1903.00,1804.55,1669.96,2054.77,2541.66,1442.08,1858.05,1715.54,1704.28,1691.79,1655.92,1655.92,1556.72,1283.37,1163.88,2152.79,1797.29,1973.65
1979,1968.95,2814.08,2108.99,1987.01,2004.77,2320.12,2920.65,1751.57,1888.58,2001.74,1969.41,1915.02,1947.82,1947.82,1763.53,1649.90,1500.90,2556.44,2016.00,2243.72
1980,1772.18,2820.38,1865.69,1837.41,1612.76,2114.92,2699.90,1341.89,2074.90,1639.02,2096.01,1545.15,1618.45,1618.45,1561.89,1400.37,1251.36,2167.39,1642.94,2025.93
1981,1732.82,2246.66,1947.21,1562.78,1774.82,2273.15,2354.28,1466.56,2048.51,1831.10,1488.18,1746.53,1814.08,1814.08,1730.88,1316.51,1276.92,2225.31,1833.45,1858.23
1982,1608.59,2161.52,1629.37,1552.75,1492.00,1896.06,2223.31,1259.12,2029.29,1532.68,1539.13,1451.99,1523.00,1523.00,1483.28,1340.87,1139.58,1941.71,1629.62,1654.56
1983,1522.21,2161.04,1423.46,1480.10,1529.99,2176.92,2259.21,1176.52,1814.32,1629.67,1446.34,1517.65,1635.40,1635.40,1571.14,1134.61,950.71,2063.73,1318.14,1663.66
1984,1582.32,2216.04,1569.01,1440.82,1608.40,2358.98,2260.37,1302.90,1826.58,1735.49,1294.47,1549.43,1771.62,1771.62,1748.87,1158.30,1094.80,2179.16,1478.22,1708.22
1985,1468.17,1888.88,1541.79,1377.95,1433.40,1960.36,1985.62,1207.65,1812.67,1534.27,1136.24,1468.63,1489.94,1489.94,1511.26,1147.56,1013.89,1805.88,1477.05,1530.52
1986,1549.80,1960.89,1132.50,1657.95,1328.04,1855.25,2064.61,1100.11,2066.14,1315.68,1382.61,1164.10,1352.22,1352.22,1309.67,1436.67,1053.23,1806.56,1049.20,1628.91
1987,1454.81,2059.08,1322.36,1548.29,1387.90,1816.97,2113.57,1071.19,1805.48,1421.14,1385.53,1285.74,1413.19,1413.19,1366.50,1163.54,951.86,1804.11,1181.33,1596.89
1988,1814.11,2782.85,2000.37,1816.12,1809.81,2299.07,2521.38,1524.59,1839.31,1933.64,1930.63,1888.77,1865.47,1865.47,1769.57,1441.30,1375.88,2266.32,1997.98,2040.69
1989,1545.46,2111.39,1543.20,1545.03,1518.50,2103.80,2071.42,1213.75,1812.82,1622.33,1355.34,1512.58,1654.83,1654.83,1702.34,1208.96,1036.88,1963.10,1548.92,1669.21
1990,1789.49,2625.45,1373.59,1977.34,1606.18,2079.65,2622.54,1216.47,2389.41,1555.58,1837.23,1395.12,1579.85,1579.85,1537.55,1495.07,1068.65,2189.87,1380.47,2002.83
