Variable:,pr
,Mexico,Aguascalientes,"Baja California","Baja California Sur",Campeche,Chiapas,Chihuahua,Coahuila,Colima,"Distrito Federal",Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,"Nuevo Leon",Oaxaca,Puebla,Queretaro,"Quintana Roo","San Luis Potosi",Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
1970,708.78,462.67,99.96,59.27,876.03,1787.65,389.93,310.86,1263.81,1060.90,609.92,534.70,1349.90,1011.37,842.25,1000.14,1124.47,828.87,886.34,597.56,1575.76,904.42,704.97,1013.71,585.24,571.46,241.57,1669.20,794.48,822.10,1556.50,669.73,434.02
1971,741.42,672.85,102.86,89.83,810.01,1519.11,443.64,521.13,1365.16,1245.06,689.97,711.07,1324.15,991.85,957.45,1212.90,1205.16,977.14,1063.45,654.82,1343.16,924.99,826.09,1042.88,677.77,700.17,336.13,1319.02,601.30,845.36,1464.05,707.33,612.32
1972,774.76,452.00,128.15,205.58,1072.33,1574.39,545.85,385.91,1055.35,1354.26,607.60,516.47,1279.79,1040.41,766.72,1209.45,1074.13,1136.08,894.93,689.43,1413.09,1164.01,698.58,1299.90,685.96,698.67,356.11,1692.69,839.47,1001.57,1856.09,911.39,424.11
1973,910.02,708.31,106.46,95.82,1140.00,2109.96,446.89,515.73,1381.19,1480.01,795.56,796.47,1836.96,1318.62,1041.75,1432.56,1417.20,1439.68,1124.41,978.72,1901.07,1395.49,987.90,1223.49,834.88,659.65,270.24,2038.26,929.13,1212.80,1854.73,927.32,695.60
1974,808.51,505.25,123.27,124.60,968.93,1886.37,485.09,355.77,1419.83,1403.87,704.64,609.95,1546.38,1190.82,1021.54,1269.27,1176.39,1116.07,1125.57,508.99,1922.56,1277.75,843.73,1220.83,648.50,811.45,266.99,1611.77,668.98,1060.21,1799.34,849.75,417.73
1975,771.44,536.43,101.67,66.48,779.94,1714.06,378.25,368.45,1562.74,1492.29,574.75,645.33,1529.65,1075.94,1010.38,1313.21,1233.78,1236.91,1112.55,823.59,1663.99,1165.90,748.63,1097.85,697.17,574.85,272.22,1551.08,919.21,1004.31,1717.50,727.93,532.00
1976,842.59,775.18,191.34,106.69,1002.02,1681.15,500.63,549.00,1233.21,1406.45,786.44,760.99,1420.35,1202.84,1004.27,1263.13,1158.55,1056.72,1185.48,832.47,1482.05,1239.95,895.82,1301.76,828.45,693.95,334.77,1652.56,902.14,1133.93,1701.65,882.62,702.26
1977,716.84,521.75,192.97,114.24,838.79,1467.65,425.42,305.07,1335.04,1303.19,645.77,626.54,1342.06,898.59,994.70,1203.05,1180.30,1170.62,1105.61,519.08,1330.51,1060.98,712.19,1302.25,614.43,628.74,303.12,1380.12,670.51,918.96,1444.88,821.59,477.26
1978,870.56,689.12,265.28,125.95,1100.89,1785.65,576.96,508.40,1406.52,1422.73,791.59,692.69,1543.45,1092.35,1076.17,1337.92,1300.88,1229.45,1226.67,692.54,1663.87,1149.76,816.14,1255.31,760.39,785.51,422.22,1730.82,735.66,981.16,1700.69,887.69,610.87
1979,748.28,457.49,165.98,115.85,1072.55,1949.88,422.95,320.20,1088.59,1179.62,565.71,519.28,1370.90,1004.17,814.73,1048.33,993.30,1058.54,883.07,540.24,1628.65,1209.92,669.66,1390.13,624.91,475.91,292.37,1820.58,728.94,987.71,1742.20,847.89,388.85
