Variable:,pr
,Nicaragua,"Atlantico Norte","Atlantico Sur",Boaco,Carazo,Chinandega,Chontales,Esteli,Granada,Jinotega,Leon,Madriz,Managua,Masaya,Matagalpa,"Nueva Segovia","Rio San Juan",Rivas
1970,2144.96,2202.31,2880.70,1564.74,1671.79,1762.05,1932.58,1430.20,1672.88,1577.03,1535.81,1412.01,1418.07,1518.31,1632.71,1267.12,2772.64,2193.38
1971,1901.19,1957.45,2444.11,1384.06,1626.47,1658.54,1662.42,1296.43,1589.65,1570.73,1387.13,1299.07,1299.68,1436.16,1486.78,1240.34,2371.32,2028.70
1972,1761.00,1949.73,2623.10,1014.39,936.37,1097.57,1369.73,808.48,1054.85,1375.25,837.79,848.56,761.23,832.03,1246.22,952.03,2236.73,1649.95
1973,1829.30,1812.64,2401.18,1294.62,1767.80,1883.02,1556.51,1320.21,1520.20,1336.14,1661.24,1260.89,1424.00,1542.56,1396.84,1028.78,2253.86,1902.98
1974,1777.42,1827.33,2559.49,1112.68,1213.48,1366.41,1421.24,1050.33,1228.04,1358.54,1162.56,1065.08,1041.52,1109.57,1260.41,1023.63,2344.51,1715.13
1975,1901.26,1962.02,2391.91,1399.70,1636.17,1839.20,1580.17,1419.83,1472.20,1555.44,1656.84,1402.56,1523.41,1558.94,1551.17,1296.79,2212.44,1837.93
1976,1725.14,1944.00,2404.66,1056.98,1005.41,1229.37,1325.67,983.15,1027.15,1434.55,985.16,1044.39,856.07,918.46,1289.47,1080.65,2138.48,1502.79
1977,1496.08,1663.73,1997.74,946.85,1050.26,1293.26,1124.59,990.00,1019.91,1254.15,1044.24,1011.06,917.03,961.48,1110.94,994.48,1745.29,1310.36
1978,1744.66,1807.82,2219.51,1194.58,1486.04,1844.35,1446.94,1271.73,1413.20,1333.82,1546.58,1262.94,1303.75,1363.85,1314.76,1097.82,2137.46,1756.47
1979,1865.65,1940.42,2312.88,1333.90,1538.91,1966.06,1500.18,1501.18,1410.59,1641.29,1602.70,1534.74,1364.84,1411.53,1511.52,1399.04,2122.40,1757.86
1980,1844.49,1999.63,2354.74,1280.76,1371.57,1713.75,1498.58,1360.60,1358.18,1551.02,1423.37,1381.76,1218.52,1269.95,1447.04,1250.44,2090.58,1758.64
1981,1947.79,2050.71,2487.43,1367.93,1639.24,2035.80,1590.85,1526.58,1452.42,1525.17,1758.63,1456.94,1518.55,1548.89,1504.57,1280.34,2171.71,1763.07
1982,1914.73,2118.97,2504.40,1226.63,1549.79,1620.48,1548.43,1228.37,1512.52,1581.48,1324.28,1221.81,1228.25,1351.89,1417.94,1190.05,2189.85,1942.63
1983,1548.68,1838.11,2096.24,883.33,906.24,1230.55,1123.06,912.56,1013.57,1263.83,919.81,966.61,735.17,796.65,1105.55,927.45,1764.76,1460.55
1984,1624.80,1815.82,2195.93,1063.81,1072.72,1405.24,1250.11,1117.28,1074.22,1285.21,1131.56,1155.04,961.14,1000.23,1226.66,1043.53,1809.69,1427.68
1985,1646.99,1843.69,2193.88,1073.05,1090.20,1448.70,1315.47,994.93,1139.51,1318.71,1166.98,1040.39,980.69,1012.79,1221.99,974.22,1924.06,1514.28
1986,1796.77,2136.03,2476.97,1074.39,969.08,1031.80,1360.37,891.14,1060.45,1568.94,909.19,955.39,826.16,888.64,1320.93,1095.08,2162.51,1593.14
1987,1498.18,1707.53,2029.95,883.54,894.89,1284.42,1088.12,926.30,957.54,1255.36,950.94,965.07,761.31,805.69,1092.17,966.70,1764.82,1349.18
1988,1893.63,1847.21,2338.12,1522.81,1715.81,1925.98,1711.53,1539.87,1549.63,1632.00,1747.70,1511.21,1572.78,1619.45,1594.24,1382.66,2235.77,1760.52
1989,1588.47,1781.73,2081.08,1072.50,1000.44,1463.24,1261.27,1074.15,1004.33,1338.94,1156.95,1092.18,942.44,955.22,1272.98,1040.42,1756.85,1308.58
1990,1749.83,2114.89,2346.72,1063.06,928.94,1287.93,1265.09,1013.73,962.64,1543.38,1025.73,1026.72,853.63,873.26,1356.25,1084.07,1943.42,1359.31
1991,1509.72,1772.09,2068.97,879.95,855.38,1079.46,1125.34,919.34,923.26,1286.57,866.69,961.88,730.64,774.99,1089.53,966.33,1708.15,1336.71
1992,1443.79,1564.76,2002.48,904.59,855.78,1206.40,1152.78,817.03,932.77,1185.67,900.06,842.20,731.07,772.78,1088.43,864.95,1779.24,1351.06
