Variable:,pr
,Panama,Coclé,Colón,"Kuna Yala",Herrera,"Los Santos",Panamá,"Bocas del Toro",Chiriquí,Darién,Emberá,"Ngöbe Buglé",Veraguas
1970,4065.68,3496.19,3697.80,3122.98,4083.24,4127.14,3357.26,4504.44,4761.38,4296.04,4271.99,4682.26,4144.21
1971,3985.49,3487.73,3372.98,2862.42,4288.37,4318.98,3153.08,3753.66,4529.79,4620.30,4559.94,4183.35,4138.88
1972,3064.79,2686.00,2958.33,2417.54,3168.62,3097.35,2546.19,3685.14,3388.58,3122.76,3082.23,3612.70,3093.98
1973,4252.31,3837.46,3691.06,2811.21,4421.15,4634.52,3280.41,4145.99,5080.86,4486.23,4374.58,4865.55,4712.08
1974,3804.75,3300.41,3318.45,2822.87,4049.52,3930.31,3033.18,3705.18,4392.29,4247.83,4158.03,4165.37,4021.90
1975,3776.56,3336.13,3157.50,2502.37,4227.20,4002.25,2832.90,3826.71,5092.08,3761.97,3712.52,4182.03,4257.28
1976,3042.15,2909.63,2812.83,2100.10,3389.45,3369.52,2393.23,3177.99,3534.61,2956.52,2956.26,3534.71,3358.19
1977,2760.71,2338.50,2353.88,2053.38,2908.34,2592.03,2150.24,2543.64,3294.78,3302.95,3165.04,2924.82,2860.30
1978,3106.38,2769.76,2731.01,2297.47,3565.27,3318.24,2559.40,2829.85,3568.97,3524.55,3420.29,3031.95,3272.86
1979,3332.91,2974.99,2897.95,2408.50,3617.50,3383.24,2635.84,3413.42,4225.31,3334.93,3279.85,3879.05,3602.76
1980,2833.59,2458.87,2723.07,2260.32,2922.79,2707.55,2389.62,3139.83,3100.50,3037.01,3005.84,3189.82,2877.96
1981,3584.35,3122.41,3306.47,2733.37,3787.47,3678.01,2930.99,3774.13,4041.08,3978.08,3924.25,3945.54,3602.53
1982,2744.15,2397.79,2590.71,2102.45,2833.86,2754.79,2217.97,2942.98,3285.28,2773.33,2756.46,3361.52,2816.30
1983,2868.56,2506.15,2652.14,2123.85,3052.72,3002.00,2360.05,2873.75,3352.29,3006.16,2997.09,3282.98,2996.05
1984,3185.08,2807.26,2782.68,2427.54,3440.16,3323.32,2557.04,2994.32,3669.54,3592.08,3532.34,3395.64,3325.41
1985,2840.03,2586.49,2712.01,2306.05,2870.25,2729.33,2383.67,2800.22,3246.42,3084.51,3041.82,3271.63,2815.32
1986,2638.48,2367.30,2653.63,2109.12,2725.81,2538.23,2185.16,2961.57,2956.06,2711.84,2672.12,3127.32,2649.92
1987,3154.89,2823.14,3099.75,2430.54,3187.72,3113.21,2528.97,3361.17,3507.05,3447.99,3420.80,3623.53,3174.93
1988,3371.63,2900.00,2961.10,2536.82,3421.75,3507.18,2725.00,3239.93,3855.08,3896.76,3863.22,3688.11,3396.73
1989,2843.76,2608.68,2738.76,2252.63,2973.98,2745.64,2385.77,2910.77,3212.48,2950.42,2946.74,3223.24,2980.58
